idx,cluster
0,0
1,0
2,0
4,1
5,0
7,0
8,0
9,0
10,1
11,1
12,0
13,1
14,0
15,1
16,0
17,0
19,0
20,0
21,1
22,0
23,1
24,1
26,0
27,1
28,2
29,0
30,0
31,0
32,0
33,1
35,0
36,0
37,1
38,0
39,1
40,1
41,1
46,0
47,0
50,1
51,1
52,0
53,0
54,1
55,0
56,1
59,0
61,1
62,1
63,0
66,0
67,1
68,0
69,1
70,1
71,1
72,0
75,1
76,1
78,0
79,0
80,1
81,0
83,3
84,1
85,0
86,1
87,1
88,0
89,1
90,1
91,1
92,1
94,2
95,2
96,0
97,3
98,0
101,1
102,0
103,1
104,1
106,1
107,1
108,0
109,1
111,0
112,1
113,0
114,0
117,1
121,1
122,1
123,1
124,0
125,0
126,0
127,2
129,0
130,1
131,1
132,1
134,0
136,1
138,1
139,1
141,3
142,1
143,1
144,1
145,1
147,1
149,1
150,1
151,3
152,1
153,0
157,1
158,1
160,1
164,1
166,1
167,1
168,1
169,0
170,1
171,1
172,0
174,1
175,1
176,0
178,1
179,1
181,1
182,0
183,0
185,1
186,1
187,1
189,1
190,1
191,0
193,1
195,1
197,0
199,0
200,0
202,1
203,1
205,1
206,1
207,1
208,1
212,1
213,1
215,1
216,0
219,1
220,1
221,1
228,1
229,0
230,1
232,1
233,0
234,1
235,3
237,1
238,1
240,1
241,1
242,1
243,1
245,1
249,1
254,1
256,1
259,1
260,1
262,0
263,3
267,1
270,0
271,1
274,0
276,0
277,0
278,1
289,1
290,1
291,1
292,1
294,1
300,1
302,3
304,1
305,1
306,3
307,1
309,3
310,1
312,3
315,1
322,1
324,3
325,1
329,0
330,0
331,1
332,1
334,1
336,3
339,0
340,3
341,1
342,1
348,1
349,1
350,1
352,1
356,0
358,1
359,3
363,1
368,1
369,1
370,1
371,3
374,1
379,3
383,1
384,1
389,3
399,3
400,1
402,3
403,3
410,1
411,3
412,3
414,1
419,1
420,1
424,1
425,1
426,0
457,3
458,3
459,3
461,3
466,3
467,3
469,3
472,3
475,3
478,3
479,3
483,3
484,3
485,3
486,1
488,3
490,3
491,1
495,1
498,3
501,3
503,3
507,0
508,1
511,1
513,1
514,1
518,3
523,3
531,1
535,3
539,3
540,3
543,3
544,3
546,2
551,3
561,3
565,0
566,1
568,1
569,1
572,1
577,3
581,3
583,1
587,3
591,3
592,3
594,3
595,3
596,3
600,3
602,3
604,3
607,3
610,3
612,1
617,3
618,3
627,3
631,1
640,1
643,3
644,3
645,3
654,3
660,3
661,3
664,3
665,3
671,1
675,0
678,3
683,3
687,1
691,3
695,1
698,3
704,3
706,3
711,3
715,3
721,3
730,3
731,3
732,3
734,3
744,1
746,3
748,3
754,3
755,3
767,3
769,3
773,3
777,3
778,3
781,3
783,3
784,3
785,3
786,3
788,2
791,3
794,3
799,3
800,3
808,3
812,1
813,1
816,3
831,3
833,3
834,3
836,3
840,3
841,3
848,3
858,3
859,3
870,3
873,3
888,3
898,1
899,1
901,1
920,3
922,3
931,3
933,3
934,3
935,3
939,3
942,3
950,3
960,3
961,3
969,3
972,3
976,3
977,3
978,3
984,3
985,3
989,3
1001,3
1006,1
1012,3
1014,3
1024,3
1027,3
1028,3
1034,3
1044,3
1058,3
1059,3
1062,1
1068,3
1072,3
1073,3
1074,3
1076,3
1077,3
1078,3
1079,3
1080,3
1082,3
1083,3
1084,3
1086,3
1089,3
1093,3
1100,3
1103,1
1106,3
1131,3
1134,3
1136,3
1139,3
1142,3
1143,3
1152,1
1155,3
1165,1
1172,3
1175,3
1191,3
1192,3
1193,3
1198,3
1199,3
1200,3
1201,3
1212,3
1217,3
1230,3
1234,3
1239,3
1256,3
1257,3
1263,3
1266,3
1273,3
1277,3
1279,3
1282,3
1287,3
1290,3
1294,3
1296,3
1298,3
1302,3
1303,3
1306,3
1320,3
1322,3
1324,3
1326,3
1331,3
1337,1
1343,3
1344,3
1358,3
1361,3
1363,3
1365,3
1367,3
1375,3
1380,3
1382,3
1390,3
1402,3
1404,3
1426,3
1433,3
1438,3
1439,3
1440,3
1447,3
1452,3
1460,3
1468,3
1474,3
1481,3
1490,1
1496,3
1507,3
1509,3
1524,3
1531,3
1542,1
1546,3
1550,3
1562,3
1564,3
1577,3
1580,3
