idx,cluster
6,3
34,3
40,3
42,3
54,0
55,3
57,3
60,0
66,3
67,0
77,3
86,3
88,3
89,3
90,0
92,3
106,3
118,3
120,3
124,3
130,0
136,0
137,3
141,0
142,0
144,0
146,3
151,0
152,0
154,0
160,3
168,0
173,0
177,0
178,0
179,0
181,3
184,0
187,0
190,0
194,0
196,0
202,0
221,0
231,3
234,3
254,0
255,0
258,0
268,0
269,0
288,0
289,0
294,0
302,0
305,0
313,0
318,0
324,0
325,3
328,3
339,3
343,3
347,0
348,3
352,0
358,0
359,2
374,0
385,0
390,0
399,0
406,2
429,0
430,0
435,0
441,0
452,0
458,0
459,0
464,0
465,2
479,2
481,2
488,0
492,2
494,3
496,0
501,2
503,2
504,3
506,3
509,3
514,3
525,0
533,0
539,2
543,2
546,1
550,0
558,0
565,3
566,3
569,0
578,0
604,2
605,2
614,3
631,3
674,2
686,2
692,0
698,0
704,0
722,0
730,2
734,2
742,2
744,3
754,2
766,2
769,2
810,0
812,0
837,2
848,2
874,0
896,2
899,3
926,2
934,2
942,2
977,0
1029,2
1062,0
1078,2
1101,2
1108,2
1121,2
1142,2
1198,2
1246,2
1257,2
1277,2
1287,2
1293,2
1306,2
1354,2
1382,2
1426,2
1471,2
1481,2
1521,2
1541,3
1555,2
1562,2
1580,2
1587,2
1594,2
1617,2
1620,2
1656,2
1676,2
1680,2
1682,2
1695,3
1698,2
1709,2
1825,2
1856,2
1857,2
1900,2
1947,2
1950,2
1951,2
1983,2
1984,2
1987,0
2064,2
2067,2
2114,2
2116,2
2119,2
2136,2
2162,2
2182,2
2235,2
2247,0
2258,2
2270,2
2272,2
2292,2
2294,3
2389,2
2396,2
2443,2
2590,2
2653,2
2681,2
2805,2
2811,2
2821,2
2899,2
2994,2
3038,2
3059,2
3129,2
3150,2
3203,2
3208,2
3271,2
3281,2
3296,2
3328,2
3402,2
3403,2
3580,2
3613,2
3663,2
3854,2
3901,2
3993,2
4049,2
4050,2
4085,2
4104,2
4123,2
4259,2
4286,2
4441,2
4469,2
4603,2
4641,2
4709,2
