idx,cluster
18,1
40,1
42,1
55,1
58,2
66,1
70,2
73,2
77,1
86,1
88,1
89,1
103,2
106,1
117,1
118,1
121,1
130,1
131,2
133,1
136,2
142,2
148,1
150,1
152,1
155,2
160,1
164,2
167,2
173,2
178,2
179,1
181,1
184,1
186,2
195,1
196,1
198,2
202,1
211,1
219,2
221,2
226,2
227,2
231,1
234,1
235,2
238,1
241,2
243,1
248,1
251,2
252,2
254,1
258,2
263,2
265,0
268,2
272,2
284,2
285,2
289,2
298,1
306,2
309,2
311,2
318,2
319,2
321,0
323,2
324,2
325,1
342,1
343,1
345,2
347,2
348,1
349,2
350,2
353,2
359,0
361,2
362,1
364,2
370,1
374,1
375,2
385,2
390,1
391,2
393,2
394,2
395,2
397,2
402,2
403,2
406,0
410,2
411,2
413,2
414,2
416,2
417,0
418,2
423,1
427,1
429,2
431,2
433,2
434,2
435,2
436,2
437,2
438,2
440,2
441,2
443,2
445,2
450,2
452,2
453,0
457,2
458,2
459,2
460,2
464,1
471,2
472,2
473,2
481,2
485,2
492,0
496,2
499,2
503,2
506,1
514,1
515,2
516,2
518,2
520,2
521,2
522,0
524,2
525,2
527,2
530,2
531,2
532,2
533,2
534,2
540,2
543,2
546,3
551,2
552,2
554,2
555,2
558,1
563,2
565,1
566,1
567,2
569,2
572,2
578,2
593,2
594,2
596,2
598,2
604,2
615,2
616,2
618,2
619,2
623,2
630,2
631,1
636,2
638,2
639,2
641,2
646,2
649,2
651,2
652,2
653,2
656,2
664,2
665,0
673,2
679,2
681,2
682,0
683,2
685,2
686,2
688,1
689,2
691,2
692,1
697,1
699,2
700,2
701,2
703,2
704,2
705,2
707,2
710,2
711,2
721,0
725,0
726,2
727,2
730,2
735,0
738,2
742,2
743,2
744,1
745,0
748,2
751,2
752,0
754,2
756,2
760,2
766,0
778,2
780,2
782,2
783,2
788,3
789,2
791,2
792,2
793,2
795,2
796,2
797,2
798,2
802,2
804,2
807,2
809,1
810,2
811,2
814,2
815,2
816,2
817,2
819,2
820,2
822,2
829,0
831,2
832,2
833,2
835,2
837,2
842,2
843,2
846,2
847,0
848,2
857,0
858,2
859,0
868,2
869,2
885,2
886,1
887,2
888,2
890,2
891,2
894,0
895,2
896,0
897,0
899,1
902,2
903,1
904,2
905,2
906,2
907,2
910,2
911,2
913,2
914,2
916,2
917,2
921,2
923,2
925,2
926,2
927,0
933,2
934,0
935,2
942,2
948,0
949,2
952,2
953,2
957,2
962,2
966,0
971,0
978,2
981,0
986,2
989,2
996,0
997,2
998,0
999,0
1003,0
1004,2
1012,2
1014,2
1016,0
1017,2
1021,2
1022,2
1024,2
1026,2
1029,0
1031,2
1032,0
1037,2
1040,2
1042,2
1043,2
1044,2
1045,2
1048,2
1050,2
1053,2
1054,2
1055,2
1060,2
1061,2
1062,1
1065,2
1066,0
1067,0
1068,2
1069,0
1071,2
1072,0
1077,2
1078,2
1085,0
1086,0
1088,2
1097,0
1100,2
1101,0
1113,0
1115,0
1119,1
1120,2
1121,2
1122,2
1123,0
1124,2
1126,0
1128,0
1130,0
1134,0
1137,0
1138,2
1140,0
1142,0
1144,0
1147,0
1150,2
1152,1
1155,2
1157,2
1159,2
1162,2
1163,2
1165,2
1166,2
1171,2
1173,2
1174,2
1179,2
1180,2
1182,2
1183,2
1184,2
1185,2
1189,2
1190,2
1191,2
1197,2
1198,0
1202,0
1206,0
1207,2
1214,0
1216,2
1217,2
1218,0
1222,2
1223,0
1225,0
1227,0
1228,0
1229,0
1232,2
1237,2
1244,0
1256,0
1257,2
1258,0
1259,0
1260,2
1261,0
1262,2
1267,0
1268,0
1274,0
1276,0
1277,0
1283,0
1287,0
1288,0
1292,0
1293,2
1296,2
1297,2
1299,2
1300,2
1301,0
1309,0
1310,2
1312,0
1315,2
1324,0
1329,2
1330,2
1331,0
1334,0
1335,2
1339,2
1340,1
1344,2
1348,2
1353,0
1355,0
