idx,cluster
489,2
719,2
1730,2
2093,2
2191,2
2591,2
2729,2
2837,2
2918,2
3036,2
3168,2
3190,2
3354,0
3446,2
3471,0
3503,3
3557,2
3626,0
3646,2
3660,1
3751,2
3768,1
3776,2
3855,1
3861,2
3891,2
3909,2
3938,2
3979,2
4002,2
4007,2
4009,2
4014,2
4025,2
4026,2
4029,2
4093,2
4096,2
4106,2
4108,2
4110,2
4140,1
4154,2
4164,2
4167,2
4180,2
4227,2
4250,2
4306,2
4322,0
4328,0
4350,2
4352,2
4356,2
4363,2
4366,2
4381,2
4382,2
4383,2
4386,2
4387,2
4431,2
4468,2
4471,2
4480,3
4481,2
4490,2
4491,1
4497,3
4503,2
4508,1
4512,2
4517,2
4520,2
4521,2
4524,2
4534,2
4536,2
4547,2
4561,2
4578,2
4582,2
4583,1
4593,2
4597,2
4598,2
4600,2
4606,2
4616,2
4617,2
4660,1
4666,2
4679,2
4685,0
4689,2
4698,1
4706,2
4710,1
4711,2
4712,2
4713,2
4731,2
4736,2
4737,2
4742,2
4755,2
4757,2
4759,2
4766,2
4802,2
