idx,cluster
3,1
24,1
25,1
45,1
49,1
60,2
65,1
69,2
77,1
78,1
80,1
82,1
84,2
95,1
97,0
100,1
103,2
104,2
112,2
116,1
119,1
135,2
140,2
145,1
156,2
157,2
165,2
167,2
172,1
176,1
180,2
189,2
192,3
214,2
216,1
222,2
226,2
236,2
237,2
239,1
244,1
246,2
248,2
250,2
257,2
264,3
267,2
270,1
274,1
280,2
281,2
283,2
286,2
287,1
288,2
297,2
298,1
301,2
310,2
312,2
314,0
316,2
317,3
323,2
326,1
327,2
333,2
335,1
346,2
349,2
351,1
354,2
357,2
360,2
363,2
365,2
376,0
377,2
378,3
380,3
382,3
383,2
384,1
386,2
396,2
404,3
405,2
406,0
407,3
408,2
409,0
410,2
416,2
421,2
432,2
434,2
438,2
439,1
440,0
444,2
448,3
452,2
454,2
455,2
456,1
462,2
463,0
470,2
474,0
475,0
477,3
482,0
484,3
485,0
491,2
493,2
494,1
510,2
521,2
524,2
526,3
528,3
529,2
535,3
536,3
537,2
538,2
542,0
544,0
545,2
552,3
553,2
556,2
557,2
559,3
561,0
562,2
564,2
571,1
575,2
576,2
583,2
585,2
586,2
588,2
589,2
590,2
592,3
593,0
598,2
599,3
606,2
611,2
612,1
617,3
620,3
621,2
622,2
625,2
628,1
629,2
632,3
633,2
635,2
637,2
641,2
642,2
645,2
647,2
648,0
650,3
651,2
652,2
656,3
660,3
662,1
663,3
667,3
670,3
671,2
672,2
676,3
677,3
678,3
680,2
681,0
684,2
685,0
690,1
693,1
694,2
696,2
697,2
698,2
709,2
710,3
712,3
713,3
714,2
716,0
717,2
720,2
724,2
729,0
733,0
737,2
738,2
741,2
743,0
747,2
749,2
752,0
757,0
758,2
761,0
762,0
763,0
764,3
765,2
767,2
771,0
772,3
773,3
774,3
776,2
777,2
779,0
784,3
785,3
789,0
795,0
800,3
801,2
804,0
806,3
807,2
808,0
809,1
812,2
815,2
818,2
822,2
823,2
824,2
825,2
826,2
827,2
834,3
839,3
844,0
845,3
849,2
850,0
851,0
852,3
853,0
855,3
860,2
861,3
862,3
865,2
867,2
868,3
871,0
872,3
875,2
877,2
878,2
879,2
881,3
882,0
883,1
884,2
889,3
891,2
892,3
898,1
902,2
905,2
909,2
915,0
918,2
919,2
920,0
921,2
922,2
924,2
925,2
928,2
929,2
938,3
