idx,cluster
6,2
8,2
15,2
32,2
34,2
37,2
40,2
42,2
48,1
54,1
55,2
57,2
63,2
66,2
67,1
69,1
73,1
77,2
78,2
81,2
86,2
87,2
88,2
89,2
90,1
92,2
106,2
109,1
113,2
114,2
117,2
118,2
120,2
121,1
124,2
130,1
131,1
136,1
137,2
138,1
141,1
142,1
143,1
144,1
146,2
152,1
154,1
160,2
173,1
175,1
177,1
178,1
179,1
181,2
184,1
187,1
191,2
194,1
195,1
196,1
197,2
202,1
211,1
221,1
225,1
231,2
234,2
235,1
243,2
254,1
255,1
258,1
265,0
268,1
269,1
276,2
288,1
289,1
292,1
293,1
294,1
302,1
305,1
309,0
318,1
324,1
325,2
326,2
328,2
336,1
339,2
341,1
343,2
347,1
348,2
352,1
358,1
359,0
364,1
368,1
374,1
381,0
390,1
391,1
393,1
399,1
403,1
406,0
410,1
418,1
429,1
430,1
431,1
435,1
441,1
443,1
450,1
452,1
453,0
458,1
459,1
460,1
461,1
464,1
465,1
467,0
479,1
481,1
485,1
488,1
489,0
494,2
496,1
503,0
504,2
506,2
509,2
514,2
516,0
518,0
522,0
525,1
533,1
539,0
546,3
550,1
555,1
558,1
561,0
563,1
565,2
566,2
569,1
572,1
578,1
591,1
604,0
605,0
614,2
631,2
636,1
646,0
651,1
661,0
667,0
674,0
686,1
689,1
692,1
698,1
699,1
701,0
704,1
722,1
725,0
727,0
730,1
734,0
742,1
744,1
752,0
754,1
766,0
769,0
778,0
781,0
793,0
807,1
810,1
812,1
816,0
820,1
835,1
837,0
842,1
848,0
858,0
859,0
874,1
896,0
897,0
899,2
921,1
926,1
927,0
931,0
934,0
935,0
942,0
960,0
966,0
977,1
989,0
1029,0
1040,1
1044,1
1045,0
1053,0
1055,0
1062,1
1066,0
1067,0
1068,1
1069,0
1074,0
1078,0
1086,0
1101,0
1108,0
1121,1
1134,0
1152,1
1155,0
1165,1
1172,0
1198,0
1206,0
1214,0
1246,0
1257,0
1277,0
1279,0
1287,0
1293,0
1301,0
1302,0
1306,0
1310,0
1322,0
1331,0
1336,0
1345,0
1354,0
1363,0
1375,0
1382,0
1389,0
1403,0
1423,0
1426,0
1451,0
1453,0
1471,1
1481,0
1494,0
1496,0
1498,0
1509,0
1511,0
1519,0
1521,0
1527,0
1541,2
1551,1
1555,0
1561,0
1562,0
1570,1
1580,0
1584,0
1587,0
1600,0
1620,0
1656,0
1668,0
1676,0
1686,0
1695,2
1698,0
1718,0
1723,0
1731,0
1733,0
1734,0
1754,0
1761,0
1764,0
1769,0
1777,0
1794,0
1807,0
1811,1
1825,0
1827,0
1841,1
1849,0
1856,0
1857,0
1870,0
1871,0
1886,0
1898,0
1900,0
1901,0
1942,0
1947,0
1950,0
1951,0
1965,0
1976,0
1977,0
1983,0
1984,0
1999,0
2005,0
2019,0
2020,0
2021,0
2037,0
2044,0
2049,0
2069,0
2086,1
2095,0
2097,0
2103,0
2104,0
2114,0
2116,0
2119,0
2121,0
2127,0
2129,0
2156,0
2162,0
2165,0
2176,0
2182,0
2185,0
2190,0
2209,0
2220,0
2226,0
2238,0
2256,0
2262,0
2270,0
2285,2
2292,0
2294,1
2303,0
2314,0
2325,0
2326,0
2337,0
2346,0
2351,0
2352,0
2363,0
2396,0
2404,0
2410,0
2427,0
2432,0
2443,0
2446,0
2464,0
2466,0
2494,0
2501,0
2511,1
2512,0
2525,0
2535,0
2538,0
2556,0
2563,0
2570,0
2577,0
2590,0
2601,0
2615,0
2653,0
2678,0
2679,0
2681,0
2729,0
2732,0
2740,0
2744,0
2746,0
2748,0
2755,0
2785,0
2805,0
2807,0
2811,0
2826,0
2827,0
2833,0
2835,0
2846,0
2851,0
2886,0
2899,0
2916,0
2923,0
2967,2
2969,0
2987,0
2992,0
2994,0
3013,1
3022,0
3026,0
3027,0
3038,0
3049,0
3059,0
3065,0
3067,0
3087,0
3114,0
3119,0
3129,0
3156,0
3170,0
3183,0
3190,0
3196,0
3215,0
3233,0
3236,1
3253,0
3281,0
3327,0
3344,0
3373,0
3377,0
3381,0
3403,0
3407,0
3424,0
3448,0
3462,0
3508,0
3525,0
3579,0
3580,0
3613,0
3663,0
3670,0
3688,0
3723,0
3728,0
3729,0
3731,0
3861,0
3871,0
3886,0
3900,0
3901,0
3904,0
3919,0
3928,0
3941,0
3945,0
3950,0
3960,0
3986,0
3991,0
4034,0
4044,0
4045,0
4049,0
4050,0
4123,0
4125,0
4191,0
4239,0
4255,0
4259,1
4267,0
4286,0
4301,0
4354,0
4405,0
4441,0
4448,0
4513,0
4517,0
4522,0
4526,0
4560,0
4601,0
4655,0
4659,0
4690,0
4695,0
4709,0
4729,0
4754,0
4782,0
