idx,cluster
0,0
1,0
5,0
8,0
9,0
10,2
12,0
14,0
15,2
17,0
19,0
20,0
22,0
23,2
30,0
32,0
37,2
38,0
46,0
48,2
50,2
55,2
61,2
63,2
71,2
72,0
73,3
78,0
80,2
81,0
84,3
86,2
90,2
92,2
98,0
100,2
103,3
105,2
106,2
107,2
109,2
113,0
114,0
115,2
117,2
118,2
121,2
126,2
129,2
131,3
133,2
138,2
143,3
148,2
154,2
159,0
160,2
161,3
168,3
172,2
175,3
184,2
187,2
191,0
195,2
197,0
198,3
199,0
206,3
208,3
210,3
211,2
215,2
217,3
232,2
234,2
235,3
238,2
241,3
243,2
254,2
258,3
262,0
265,1
268,3
276,0
289,3
292,3
293,3
294,3
296,3
299,3
302,3
305,3
309,3
315,2
322,2
326,2
327,3
329,0
330,0
331,3
332,3
336,3
341,3
349,3
364,3
368,3
369,3
379,1
381,3
390,2
391,3
403,3
407,3
410,3
413,3
416,3
417,1
419,3
420,3
423,2
426,0
428,3
431,3
435,3
443,3
451,3
452,3
467,3
470,3
471,3
472,3
473,3
485,3
486,3
488,3
501,3
505,3
533,3
537,3
543,1
547,3
555,3
563,3
565,2
572,3
576,3
578,3
583,3
584,1
589,3
591,3
597,3
612,2
618,3
624,3
627,1
636,3
646,3
654,3
661,3
668,1
672,3
690,2
710,3
715,3
728,3
742,3
743,3
744,2
746,3
764,3
768,3
776,3
777,3
781,3
784,1
786,3
792,3
803,3
805,3
810,3
813,3
814,3
820,3
827,3
832,3
836,3
859,1
864,3
870,3
894,1
898,2
899,2
903,2
917,3
931,1
932,2
935,1
937,3
942,3
953,3
967,3
977,3
995,3
1000,1
1016,1
1017,1
1029,1
1035,1
1040,3
1074,1
1078,1
1085,1
1086,1
1095,1
1110,3
1132,3
1134,1
1139,1
1144,1
1191,1
1192,1
1206,1
1213,1
1230,1
1238,1
1246,1
1259,1
1266,1
1274,1
1277,1
1287,1
1289,1
1291,3
1296,1
1306,1
1322,1
1331,1
1337,2
1341,1
1359,3
1390,3
1402,1
1411,1
1420,1
1423,1
1438,1
1446,3
1449,1
1451,1
1453,1
1481,1
1494,1
1495,1
1497,1
1518,1
1519,1
1549,3
1569,1
1570,3
1578,3
1579,3
1584,1
1594,3
1599,3
1603,1
1611,1
1626,1
1643,1
1652,3
1658,1
1669,1
1680,1
1682,3
1686,1
1694,1
1695,2
1707,3
1718,1
1731,1
1734,1
1761,1
1764,1
1802,1
1804,1
1821,1
1822,1
1825,1
1849,1
1878,1
1893,1
1900,1
1914,1
1918,1
1932,1
1936,1
1939,1
1942,1
1976,1
1977,1
1984,1
1987,3
1999,1
2017,3
2019,1
2029,3
2069,1
2100,1
2108,3
2114,1
2127,1
2157,1
2163,1
2166,1
2169,1
2175,1
2184,1
2206,1
2228,1
2237,1
2247,3
2258,1
2262,1
2263,1
2266,1
2294,2
2303,1
2311,1
2313,3
2314,1
2333,1
2343,1
2366,1
2390,1
2416,1
2438,3
2465,3
2490,1
2499,1
2530,1
2540,1
2556,1
2568,1
2577,1
2586,1
2592,1
2598,1
2614,1
2628,1
2651,1
2652,1
2655,1
2659,3
2681,1
2685,1
2753,1
2794,1
2826,1
2835,1
2846,1
2851,1
2884,1
2911,3
2944,1
2967,2
3004,1
3006,1
3013,3
3126,1
3208,1
3237,1
3252,1
3281,1
3329,1
3364,1
3386,1
3402,1
3448,3
3466,1
3494,1
3552,1
3607,1
3613,1
3631,1
3659,1
3671,1
3706,3
3733,1
3775,1
3777,1
3782,1
3800,1
3841,1
3845,1
3856,1
3886,1
3901,1
3907,1
3919,1
3928,1
3929,1
3986,1
4049,1
4055,1
4149,1
4160,1
4175,1
4251,1
4259,3
4301,1
4325,1
4368,1
4378,1
4399,1
4440,1
4489,1
4539,1
4579,1
4608,1
4654,1
4724,1
4756,1
