idx,cluster
87,0
96,2
100,0
113,0
128,0
163,0
167,1
180,0
188,0
190,0
201,0
205,0
220,0
228,0
275,0
286,1
291,0
296,1
314,3
333,0
346,1
354,0
356,0
364,1
365,1
370,0
407,1
414,1
421,1
439,0
447,1
451,1
453,3
455,1
462,1
474,3
517,1
538,1
548,1
562,1
564,1
575,1
576,1
606,1
607,1
608,1
625,1
626,1
650,1
659,1
684,0
693,0
694,0
696,1
732,1
741,1
758,1
759,1
767,1
770,1
776,1
777,1
801,1
825,1
826,1
845,1
849,1
851,1
876,3
908,1
920,1
922,1
930,0
946,1
947,1
950,1
973,3
974,1
982,1
983,1
987,3
993,3
1003,3
1009,1
1028,1
1033,1
1036,1
1046,1
1047,1
1063,1
1087,1
1092,1
1103,1
1116,1
1127,1
1129,1
1145,0
1151,1
1164,1
1186,3
1195,1
1196,0
1203,1
1204,1
1205,1
1211,1
1219,1
1220,1
1224,1
1247,3
1264,3
1271,1
1280,1
1313,1
1318,1
1320,3
1352,1
1367,1
1374,1
1410,1
1417,3
1418,1
1422,3
1425,1
1445,3
1449,3
1457,1
1465,0
1485,3
1506,1
1508,3
1523,3
1533,3
1553,0
1556,1
1596,1
1639,3
1647,3
1658,1
1694,3
1699,1
1711,1
1752,1
1758,1
1762,1
1766,3
1773,3
1781,1
1789,3
1799,1
1800,3
1805,3
1808,1
1809,1
1821,3
1822,3
1839,3
1845,3
1892,3
1905,3
1924,3
1938,1
1941,3
1945,1
1961,1
1968,1
1998,3
2008,1
2017,1
2026,1
2041,1
2056,3
2061,1
2063,3
2080,1
2117,3
2118,3
2120,1
2135,3
2143,3
2145,3
2146,3
2149,3
2156,3
2167,1
2180,3
2193,3
2208,1
2225,1
2239,3
2260,3
2264,3
2267,3
2280,3
2282,1
2286,3
2293,3
2332,1
2346,3
2359,3
2378,1
2381,3
2402,3
2405,3
2447,3
2460,3
2469,3
2478,3
2484,3
2495,3
2507,3
2541,3
2567,3
2581,3
2584,3
2623,3
2625,3
2627,1
2632,3
2643,3
2647,3
2670,3
2673,3
2688,3
2702,3
2705,3
2723,3
2773,3
2792,3
2795,3
2816,3
2842,3
2847,1
2874,3
2891,3
2897,3
2928,3
2961,3
2966,0
2988,3
2997,3
2998,3
3018,3
3033,3
3042,3
3050,3
3060,1
3072,3
3074,3
3082,3
3083,3
3085,3
3123,3
3189,1
3199,3
3204,3
3207,3
3246,3
3252,3
3273,3
3286,3
3293,3
3363,3
3392,3
3414,1
3423,3
3486,3
3506,3
3511,3
3537,3
3541,3
3573,0
3599,1
3601,3
3634,3
3637,3
3642,3
3706,1
3717,3
3730,3
3754,3
3764,1
3833,3
3834,3
3835,3
3839,1
3850,3
3853,3
3859,3
3869,3
3877,1
3896,1
3899,3
3902,3
3908,3
3940,1
3969,3
3978,3
3980,3
4011,3
4018,3
4066,3
4067,3
4080,3
4127,3
4144,3
4151,3
4157,3
4162,3
4209,3
4212,3
4221,3
4222,3
4234,3
4245,3
4257,3
4281,1
4291,1
4292,3
4297,3
4328,3
4368,3
4370,3
4390,3
4421,3
4429,3
4451,3
4460,3
4477,3
4483,3
4492,3
4496,3
4500,3
4539,3
4554,3
4555,3
4559,3
4577,3
4589,3
4639,3
4642,3
4650,3
4691,3
4715,3
4733,3
4738,3
4748,3
4792,3
