idx,cluster
25,1
49,1
50,1
81,1
83,2
100,1
110,1
112,3
172,1
226,3
269,3
272,2
284,3
295,3
323,3
326,1
371,3
380,3
391,3
395,3
397,3
404,3
413,3
416,3
432,3
438,3
440,3
443,3
445,3
457,3
460,3
463,0
470,3
471,3
482,3
491,3
493,1
515,3
516,3
530,3
534,3
535,3
536,0
551,3
555,3
559,0
567,3
575,3
591,3
598,3
612,1
625,3
630,3
637,1
638,3
648,3
652,3
653,3
660,0
665,2
670,0
681,3
682,2
688,1
703,3
705,3
710,3
713,0
733,0
751,3
756,3
757,2
773,0
776,3
777,3
785,0
792,3
793,2
795,3
806,0
809,1
811,3
814,3
815,3
816,2
817,3
822,3
826,3
827,3
852,3
853,3
860,3
862,0
868,3
869,3
875,3
882,0
885,3
886,1
887,3
891,3
898,1
900,3
902,3
904,3
907,3
910,3
912,3
915,0
925,3
935,2
942,3
957,3
961,3
962,3
964,0
971,2
972,3
990,0
993,2
995,3
999,2
1007,0
1016,2
1017,2
1018,0
1021,3
1025,3
1026,0
1030,2
1031,3
1032,2
1045,3
1050,3
1061,3
1065,0
1067,2
1080,0
1081,3
1090,2
1098,0
1115,2
1120,3
1122,3
1123,2
1125,0
1128,0
1143,3
1150,3
1154,1
1162,3
1167,3
1168,3
1175,3
1180,3
1183,3
1185,3
1190,3
1202,2
1204,3
1207,2
1215,2
1216,3
1225,2
1226,3
1227,2
1232,2
1235,0
1241,3
1246,2
1248,0
1258,2
1260,3
1263,2
1291,3
1295,2
1299,3
1300,3
1305,3
1309,0
1311,2
1324,2
1329,3
1335,3
1337,1
1348,3
1350,0
1352,3
1366,1
1372,2
1373,0
1376,2
1384,3
1393,2
1400,2
1401,2
1408,3
1414,2
1416,2
1433,0
1435,2
1442,2
1444,2
1449,2
1454,0
1458,2
1460,0
1461,0
1467,0
1468,2
1472,3
1474,2
1475,2
1483,3
1492,3
1495,3
1499,3
1515,2
1523,2
1526,2
1540,3
1543,3
1551,3
1559,3
1560,3
1561,3
1563,0
1564,3
1565,3
1567,3
1569,2
1571,2
1572,3
1575,2
1578,3
1579,3
1582,3
1588,3
1590,3
1591,2
1594,3
1599,3
1601,3
1603,3
1612,2
1619,2
1624,0
1629,2
1632,0
1638,3
1646,2
1647,2
