idx,cluster
3,2
11,0
25,2
27,0
28,2
29,2
33,0
41,0
43,0
45,0
58,3
65,2
76,0
82,2
93,0
96,2
99,3
100,0
104,3
108,0
116,0
122,0
123,0
125,0
127,2
128,0
134,0
135,3
139,0
140,0
147,0
149,0
153,0
164,0
166,0
168,3
170,0
176,0
180,0
185,0
186,0
188,0
200,2
201,0
203,0
204,0
209,0
212,0
213,0
215,0
217,0
218,0
222,0
239,0
240,3
244,0
245,0
247,0
248,0
249,0
259,3
261,0
271,0
273,0
275,0
277,0
278,0
279,0
282,0
283,3
286,3
290,0
291,0
295,0
297,0
300,0
307,0
308,3
310,3
312,3
314,1
322,0
332,0
333,0
334,0
335,0
337,0
344,3
345,3
346,3
350,3
351,0
354,0
355,0
360,3
364,3
366,3
367,3
369,3
370,0
371,3
372,3
376,3
377,3
378,3
386,0
387,3
388,0
389,3
392,3
396,3
398,0
402,3
405,3
408,3
412,3
421,3
424,0
425,0
433,3
437,3
439,0
442,0
444,3
446,3
447,3
449,3
451,3
454,3
455,3
462,3
468,3
472,3
476,3
477,3
478,3
487,3
490,3
497,3
500,3
502,3
505,3
510,3
512,0
513,0
517,3
519,0
523,3
528,3
530,3
538,3
540,3
542,1
544,3
545,0
547,3
553,3
562,3
564,0
568,3
570,3
571,0
573,0
574,3
575,3
576,3
580,0
581,3
587,3
590,3
594,3
596,3
600,3
601,1
602,1
603,3
607,3
608,3
609,3
611,3
613,3
620,3
621,3
622,3
626,3
629,3
632,3
643,3
644,3
645,3
647,3
654,3
655,1
658,3
659,3
660,3
665,1
666,3
669,3
677,3
680,3
683,3
693,0
694,0
695,0
696,3
711,3
714,3
716,3
717,0
718,3
720,3
723,3
724,3
731,3
732,3
735,1
736,3
737,3
739,3
741,3
747,3
753,3
755,3
758,3
759,3
761,3
762,3
767,3
768,3
774,3
775,3
779,1
782,3
794,3
801,3
805,3
807,3
808,1
818,3
821,0
823,3
825,3
826,3
830,0
834,3
840,3
844,1
845,3
850,3
851,3
852,3
856,1
863,1
864,3
866,1
867,3
872,3
873,3
876,1
879,3
880,3
881,3
884,3
893,3
900,3
908,0
918,3
919,3
920,3
922,3
924,3
929,3
930,0
931,3
932,0
936,3
938,3
939,3
940,3
941,3
943,3
944,3
946,3
950,3
951,3
955,3
958,3
959,1
961,3
963,1
965,3
968,3
969,3
970,3
972,3
973,1
974,3
975,3
976,1
979,3
980,3
982,3
983,3
984,3
987,1
988,3
991,1
993,1
994,3
996,3
1000,3
1001,1
1002,1
1003,1
1005,3
1009,3
1010,3
1013,3
1020,0
1022,3
1024,3
1027,3
1030,1
1033,3
1034,3
1035,1
1036,3
1038,3
1041,0
1046,3
1047,3
1049,3
1051,0
1052,3
1058,1
1059,1
1063,3
1064,3
1073,3
1075,3
1076,1
1082,3
1083,3
1084,1
1087,3
1092,3
1096,1
1097,1
1099,1
1100,3
1102,0
1103,0
1105,3
1106,3
1107,1
1110,3
1111,3
1116,3
1118,3
1127,3
1131,3
1132,3
1133,3
1135,3
1139,1
1144,1
1145,0
1146,3
1151,3
1154,0
1156,3
1158,3
1170,3
1177,0
1178,3
1181,3
1187,0
1188,3
1192,1
1193,3
1194,3
1195,3
1196,0
1199,3
1200,3
1201,3
1202,1
1203,3
1205,3
1209,3
1210,3
1213,1
1220,3
1230,1
1236,1
1245,3
1250,1
1253,1
1254,1
1255,3
1265,1
1266,1
1267,1
1269,1
1271,3
1272,1
1273,1
1275,3
1280,3
1281,1
1282,1
1289,3
1294,3
1303,3
1308,3
1311,1
1313,3
1314,1
1319,3
1320,1
1328,3
1338,3
1341,1
1342,1
1343,3
1346,3
1351,3
1352,3
1361,3
1369,3
1374,3
1379,3
1390,3
1394,3
1397,1
1399,0
1404,1
1410,3
1412,3
1417,1
1418,3
1419,1
1422,1
1425,3
1429,3
1431,1
1437,1
1440,1
1445,1
1447,1
1448,3
1449,1
1452,3
1456,3
1457,3
1458,1
1465,0
1469,1
1470,1
1473,3
1479,1
1482,1
1484,1
1485,1
1488,1
1491,1
1503,1
1506,3
1507,3
1508,3
1512,3
1513,3
1515,1
1517,3
1518,1
1523,1
1531,3
1535,3
1537,1
1546,3
1553,0
1556,3
1568,0
1577,1
1583,1
1586,3
1592,3
1596,3
1598,3
1604,3
1605,3
1610,3
1617,1
1618,3
1625,1
1627,3
1628,3
1632,3
1633,1
1634,1
1635,1
1636,1
1637,1
1639,1
1641,1
1642,1
1644,3
1645,1
1647,1
1651,1
1652,3
1653,3
1654,1
1660,1
1664,1
1666,1
1669,1
1670,1
1674,1
1675,3
1681,1
1688,3
1694,1
1699,3
1702,0
1711,3
1713,3
1715,1
1722,1
1725,0
1727,3
1728,3
1729,1
1737,1
1743,3
1749,3
1750,3
1752,3
1757,1
1758,3
1760,3
1766,1
1767,1
1770,3
1771,1
1773,1
1775,1
1781,3
1786,3
1788,1
1792,3
1794,1
1796,1
1799,3
1800,1
1803,1
1805,1
1808,3
1809,3
1815,0
1817,3
1820,3
1822,1
1824,1
1826,3
1828,3
1829,0
1837,3
1838,1
1844,3
1845,1
1850,0
1853,3
1860,1
1866,1
1872,1
1873,3
1884,1
1892,1
1893,1
1894,1
1897,1
1902,3
1905,1
1907,1
1909,3
1911,1
1914,1
1921,3
1924,1
1925,1
1926,1
1928,1
1930,1
1938,3
1941,1
1952,3
1955,1
1956,1
1968,3
1971,1
1986,1
1991,3
1995,3
1998,1
2002,1
2003,1
2007,1
2008,3
2014,3
2017,0
2026,3
2029,3
2030,1
2035,1
2038,1
2040,1
2043,1
2046,1
2047,1
2048,1
2050,1
2052,3
2056,1
2057,1
2060,3
2063,1
2066,3
2074,3
2076,1
2080,3
2084,1
2088,1
2091,0
2094,3
2096,0
2111,1
2117,1
2118,1
2120,3
2123,3
2124,1
2125,1
2128,1
2130,1
2137,1
2138,1
2143,1
2146,1
2147,1
2149,1
2150,1
2151,3
2154,1
2156,1
2157,1
2160,1
2163,1
2166,1
2169,1
2170,3
2180,1
2181,3
2187,3
2188,1
2195,1
2196,1
2198,1
2200,1
2201,1
2203,1
2205,1
2207,1
2212,3
2218,1
2229,1
2234,1
2235,1
2237,1
2239,1
2240,3
2244,1
2250,1
2253,3
2255,1
2260,1
2264,1
2265,1
2267,1
2269,1
2274,1
2275,1
2277,3
2283,1
2284,0
2286,1
2291,1
2304,1
2306,1
2317,1
2318,3
2320,1
2327,3
2332,3
2336,1
2346,1
2348,3
2358,1
2359,1
2371,3
2381,1
2384,3
2385,1
2388,1
2391,1
2398,1
2400,1
2401,1
2402,1
2403,0
2405,1
2409,1
2412,1
2417,3
2424,1
2425,1
2428,3
2435,3
2438,3
2439,1
2440,1
2441,1
2442,3
2445,1
2460,1
2468,1
2470,1
2484,1
2486,1
2495,3
2502,1
2507,1
2521,1
2522,0
2533,3
2534,1
2539,3
2545,3
2546,1
2553,1
2555,1
2558,3
2561,3
2565,1
2567,1
2568,1
2569,3
2573,1
2575,1
2578,1
2583,3
2584,1
2585,3
2586,1
2587,1
2588,3
2596,1
2597,1
2609,1
2610,1
2622,1
2626,1
2627,3
2632,1
2635,1
2636,1
2639,1
2642,1
2643,1
2644,1
2646,1
2647,1
2649,1
2654,1
2657,1
2667,3
2670,1
2675,3
2676,1
2685,1
2686,1
2688,1
2692,1
2702,1
2704,1
2705,1
2723,1
2726,1
2728,1
2730,0
2733,1
2742,3
2743,3
2747,1
2750,1
2751,3
2760,3
2762,1
2764,1
2767,1
2773,1
2780,1
2783,1
2790,3
2793,1
2794,1
2795,1
2803,3
2808,0
2809,0
2815,3
2817,3
2818,1
2819,1
2824,3
2830,1
2831,1
2832,1
2842,1
2845,1
2850,1
2853,1
2864,1
2865,1
2868,1
2874,1
2878,1
2879,1
2883,1
2888,1
2891,1
2893,1
2896,1
2897,1
2905,3
2915,1
2924,1
2927,1
2932,1
2941,1
2952,1
2957,1
2958,1
2959,1
2961,1
2964,1
2976,1
2977,3
2980,3
2982,1
2983,1
2988,1
2990,1
2996,1
2997,1
2998,1
3000,3
3002,1
3006,1
3007,1
3009,1
3014,1
3017,1
3018,1
3020,1
3021,1
3031,1
3033,1
3040,1
3042,1
3048,1
3050,1
3052,1
3058,1
3060,3
3073,1
3074,1
3077,1
3081,1
3082,1
3085,1
3086,1
3088,1
3090,1
3091,1
3093,1
3098,1
3101,1
3104,1
3108,1
3109,1
3120,1
3123,1
3124,1
3126,1
3128,1
3133,1
3137,1
3143,3
3146,1
3151,1
3153,1
3158,0
3162,3
3167,1
3169,3
3172,1
3173,1
3175,1
3180,1
3192,1
3199,1
3204,1
3207,3
3209,1
3220,1
3225,1
3232,0
3234,0
3240,3
3244,1
3246,1
3251,3
3252,1
3257,3
3260,1
3273,1
3274,1
3275,1
3284,1
3291,1
3293,1
3297,1
3299,1
3303,1
3306,1
3309,1
3316,1
3322,1
3323,1
3329,1
3330,1
3331,3
3332,1
3333,1
3336,3
3342,1
3343,3
3349,1
3351,3
3359,1
3361,1
3372,1
3380,1
3397,1
3399,1
3400,1
3401,1
3409,1
3412,1
3413,1
3423,1
3425,1
3427,3
3428,1
3431,1
3433,1
3437,1
3439,0
3454,3
3455,1
3467,1
3469,1
3474,1
3477,1
3486,1
3488,1
3489,1
3492,1
3504,1
3505,1
3506,1
3507,1
3509,1
3516,1
3517,1
3518,1
3524,1
3537,1
3541,1
3545,1
3548,1
3549,1
3554,3
3556,3
3558,1
3561,1
3566,1
3569,1
3572,1
3573,0
3586,1
3587,1
3591,1
3592,1
3595,1
3600,1
3603,1
3604,1
3606,1
3617,1
3618,1
3623,1
3634,1
3635,1
3637,1
3640,1
3644,1
3652,1
3653,1
3655,1
3656,1
3657,1
3658,1
3665,1
3666,1
3667,1
3668,1
3671,1
3676,1
3679,1
3680,1
3685,1
3700,1
3711,1
3714,1
3717,1
3718,1
3722,1
3726,1
3727,1
3730,1
3733,1
3734,1
3746,1
3749,1
3750,3
3752,1
3759,1
3761,1
3764,3
3772,1
3774,1
3779,1
3780,1
3785,1
3789,1
3795,1
3799,1
3803,1
3826,1
3833,1
3834,1
3840,1
3850,1
3851,1
3853,1
3857,1
3859,1
3862,1
3869,1
3873,1
3880,1
3884,3
3889,1
3895,3
3896,3
3902,1
3905,1
3907,1
3908,1
3910,1
3920,1
3940,3
3941,1
3942,1
3944,1
3948,3
3954,1
3958,1
3962,1
3966,1
3968,1
3969,1
3970,1
3972,1
3978,1
3980,1
3982,1
3985,1
3998,1
4003,1
4005,1
4018,1
4031,1
4032,1
4038,1
4048,1
4051,1
4052,1
4053,1
4056,1
4058,1
4067,1
4069,1
4071,3
4074,3
4077,1
4081,3
4089,3
4099,1
4100,1
4111,1
4114,1
4124,1
4127,1
4132,1
4133,1
4136,1
4137,1
4139,1
4142,1
4145,1
4157,1
4158,1
4161,1
4162,1
4167,1
4168,1
4170,1
4178,1
4185,1
4186,1
4189,1
4190,1
4194,1
4195,1
4197,1
4205,1
4207,1
4221,1
4224,3
4225,1
4226,1
4230,1
4233,1
4248,1
4249,1
4256,1
4257,1
4258,1
4264,1
4265,1
4266,1
4282,1
4287,1
4289,1
4297,1
4300,3
4313,1
4320,1
4326,1
4330,1
4336,1
4339,3
4340,1
4343,1
4347,1
4348,1
4353,1
4360,1
4368,1
4370,1
4389,3
4391,1
4397,1
4402,1
4408,1
4415,1
4420,1
4421,1
4422,1
4425,1
4428,1
4429,1
4436,1
4437,1
4440,1
4449,1
4451,1
4453,1
4457,1
4460,1
4472,1
4473,1
4475,1
4476,1
4477,1
4483,1
4487,1
4488,1
4492,1
4500,1
4506,1
4509,1
4514,1
4531,1
4542,1
4549,1
4554,1
4555,1
4559,1
4576,1
4587,1
4589,1
4590,1
4608,1
4615,1
4621,1
4624,1
4629,1
4630,1
4639,1
4642,1
4647,1
4649,1
4650,1
4658,1
4670,1
4680,1
4691,1
4693,1
4707,1
4723,1
4732,1
4733,1
4734,1
4738,1
4748,1
4753,1
4756,1
4758,1
4764,1
4767,1
4778,1
4780,1
4783,1
4787,1
4792,1
4794,1
4796,1
4797,1
4798,1
