idx,cluster
110,3
112,3
145,2
156,3
236,3
246,3
253,3
267,3
312,3
317,3
320,3
338,3
360,3
401,3
456,2
480,1
529,3
541,1
556,2
557,3
571,2
579,3
585,3
586,3
589,3
599,3
627,1
628,2
642,3
680,3
687,2
773,3
785,1
787,3
790,2
794,3
800,1
855,0
878,3
889,0
941,3
979,3
985,3
1027,1
1036,1
1039,1
1094,0
1106,3
1158,3
1175,1
1188,1
1244,1
1285,1
1290,0
1373,0
1405,3
1433,1
1459,0
1460,1
1461,1
1523,1
1525,3
1564,3
1662,1
1672,1
1787,0
1796,1
1818,2
1877,1
1891,1
1922,0
1923,1
1972,1
2016,1
2052,1
2053,1
2233,1
2241,1
2254,1
2291,1
2341,1
2397,1
2465,2
2505,1
2514,3
2522,2
2536,0
2550,0
2585,1
2642,1
2662,1
2671,1
2691,1
2724,0
2727,1
2757,1
2782,1
2784,1
2798,1
2806,1
2819,1
2829,0
2860,0
2894,1
2898,1
2901,1
2914,0
2936,0
2986,0
3068,1
3113,1
3130,1
3152,1
3177,1
3191,0
3197,1
3205,1
3227,1
3287,1
3310,1
3385,1
3414,1
3445,1
3514,1
3516,1
3608,1
3611,1
3618,1
3654,1
3667,1
3750,0
3813,0
3815,1
3903,0
3953,1
3996,1
4104,1
4173,1
4201,1
4244,1
4312,1
4351,1
4465,1
4661,0
