idx,cluster
13,3
70,3
176,2
178,3
287,2
338,3
459,1
498,3
676,0
684,0
796,1
833,1
933,1
1019,0
1035,1
1090,1
1109,0
1139,1
1229,1
1321,1
1365,0
1443,1
1461,0
1463,1
1514,1
1671,0
1785,0
1795,1
1836,0
1962,1
2010,1
2140,0
2161,1
2168,1
2250,1
2278,0
2357,1
2386,1
2503,1
2623,1
2664,0
2736,1
2779,1
2879,1
2972,1
3032,1
3136,1
3138,1
3404,1
3447,1
3458,0
3475,1
3490,0
3531,1
3579,1
3603,1
3622,0
3684,1
3689,1
3715,1
3815,1
3816,1
3830,1
3878,1
3910,1
3916,1
3997,1
4013,1
4070,1
4109,1
4155,1
4183,1
4202,1
4261,1
4269,1
4302,0
4349,1
4419,1
4479,1
4665,1
4672,1
4769,1
