idx,x,y
0,11.004992,9.882767
1,11.01061,10.272452
2,10.884143,10.3014965
3,10.925023,9.970993
4,8.382782,10.747794
5,10.947727,10.286801
7,11.07069,10.13467
9,10.963228,10.050488
10,8.417789,10.726477
11,9.687079,9.9293995
12,10.958156,10.182118
13,8.29178,10.67092
14,10.68113,10.233841
16,10.959541,9.9186
17,10.996478,10.212744
18,9.780728,10.071128
19,10.948895,10.237305
20,10.556388,10.118785
21,8.242191,10.654317
24,8.850344,10.286683
26,10.989681,10.033104
27,8.465324,10.633538
28,10.790318,9.548
29,10.883159,9.925218
30,10.064168,10.303288
31,10.899462,9.927448
33,8.953423,10.18728
35,10.003828,10.292013
36,10.899566,10.328971
38,10.078481,10.178978
39,8.662082,10.386827
41,8.350231,10.64208
43,8.640522,10.509705
44,10.925431,10.202165
45,10.0266695,9.722284
46,10.798597,10.182519
47,9.752327,9.766132
48,8.375547,10.598398
50,8.515385,10.168138
51,9.639769,9.68253
52,10.163362,10.33628
53,9.950623,10.221171
55,9.932153,9.770586
56,8.601339,10.481277
58,6.8588004,10.360796
59,10.14514,10.29764
61,8.3258505,10.265556
62,8.510148,10.509146
65,10.836695,9.821034
68,10.354719,9.510032
70,6.969205,10.43858
71,8.563334,10.136118
72,10.50263,9.941007
74,9.687649,9.631698
75,7.653376,10.490055
76,8.332154,10.603544
79,10.482365,9.96704
81,9.980832,9.866595
82,10.471863,9.468295
83,1.0853212,6.421187
84,7.316466,10.5309725
85,10.330504,10.002299
88,10.391401,9.426629
91,8.589912,10.39892
93,8.670883,10.483872
94,10.764711,9.496026
96,10.820579,9.801173
97,0.9110711,11.708254
98,10.939449,10.050938
99,7.586752,8.104512
101,9.01432,9.75224
102,10.081781,9.898865
103,7.074396,10.397278
104,6.7350516,10.442605
107,8.648811,10.313431
108,10.309606,9.4395
111,9.994617,10.299931
112,7.5553465,10.297577
115,8.907967,9.85304
116,9.900839,9.684328
119,10.045011,9.386137
121,8.681207,10.066996
122,8.888708,9.82597
123,8.793784,10.120522
125,9.968741,10.240199
126,9.979145,9.8065605
127,10.762941,9.508309
129,9.975465,9.444553
131,6.905957,10.358255
134,9.850511,9.942872
138,6.979068,10.38324
139,8.610639,10.234536
140,7.5323477,10.326351
147,8.3143635,10.16935
148,8.233413,10.036136
149,8.911121,10.1514
150,8.979441,9.601743
151,6.052352,9.109075
152,8.63472,10.045918
153,9.986617,10.143515
156,8.600829,10.164532
157,8.392868,10.038512
158,9.575625,9.540508
159,10.20068,9.982066
160,9.599103,9.787985
162,6.072112,10.215824
163,7.690083,9.845092
164,7.519723,10.294975
165,7.499559,10.289178
166,8.58446,9.593894
167,6.0348225,10.181658
168,6.35544,10.254081
169,9.979419,9.382613
170,7.668311,10.187667
174,8.230713,10.087114
180,8.41639,9.128543
182,9.941775,9.335286
183,10.393697,9.900075
186,7.6462636,10.194722
187,7.277745,9.928736
188,7.786269,9.559641
193,7.755268,9.707753
196,8.103376,9.586767
198,6.530261,10.084729
199,10.47417,9.4418745
203,8.691549,9.690584
204,8.807066,9.809727
205,9.2574835,9.267809
206,7.8210626,9.649573
207,6.957983,8.767371
208,6.549531,10.328808
209,8.4158535,9.872541
210,7.256463,10.093787
212,8.73859,9.860102
213,8.651337,9.90752
215,7.978907,9.582373
216,9.937859,9.506315
217,7.237744,9.92817
218,8.559351,9.812579
219,6.92061,10.169319
222,8.461892,9.285531
223,6.4598722,9.283737
224,8.0167265,9.572142
225,5.885822,10.183279
227,7.245391,9.95467
228,9.368411,9.224108
229,10.032349,10.228951
230,9.881524,10.238933
232,8.824793,9.705094
233,10.079683,10.2385645
236,5.847537,10.151363
237,6.867332,9.591945
238,9.289688,9.218342
240,6.0797105,9.945552
241,7.011982,10.295979
242,7.6460524,9.743269
243,8.778122,9.7548895
244,9.055518,9.304578
245,7.387779,9.935079
246,7.61618,10.169884
248,8.670653,9.733103
252,7.1296606,10.161631
253,8.232169,9.3603525
257,8.409813,9.553964
259,6.413443,10.375744
260,6.732326,9.19611
261,8.363075,9.766939
262,10.65623,9.705078
263,5.892584,10.083183
266,9.117016,9.231995
267,7.5295672,10.199413
271,7.5216208,10.144884
273,6.961396,9.183843
274,9.699822,9.083131
275,8.250878,9.651575
277,9.914213,10.086326
278,7.5595183,9.910557
279,9.5737505,9.079943
282,7.826378,10.092505
285,6.3449636,9.360359
286,6.105006,9.824894
290,8.185066,9.182839
291,8.187277,9.60943
292,6.596959,9.815389
295,7.1429844,9.7058525
296,6.0112696,9.837043
297,7.4971538,9.528612
299,7.5122666,9.804723
300,6.8946724,9.397176
303,4.666906,8.579401
304,7.904639,9.410481
307,7.1133847,9.172093
308,5.9592457,9.826169
310,6.5999584,9.37738
311,3.3985584,5.917899
312,5.759725,9.839799
315,8.404496,9.760474
319,4.372263,8.313812
320,7.333118,9.348424
322,8.897729,8.477396
329,10.683118,9.761993
330,10.584923,9.706461
332,7.7493258,9.651345
334,6.146972,8.951985
335,9.405096,9.077816
337,8.253194,9.085859
339,9.74101,9.17227
340,4.260133,9.038809
342,9.551792,9.169535
344,6.397064,9.364156
345,6.915015,9.577981
350,6.7652464,9.594382
353,6.6411004,9.211308
355,8.297803,9.546646
356,9.710908,9.089489
361,6.451335,9.211343
362,8.820368,8.426639
366,6.0557976,9.754389
369,6.7864285,9.3536215
370,8.393166,9.431112
371,4.302849,9.565987
372,4.9699063,9.944413
376,4.218046,8.7169895
379,2.6480925,9.6210985
381,4.1892014,8.914997
383,7.3325777,9.895073
386,8.084906,8.756374
387,7.2693853,9.618863
389,5.956873,9.05617
392,6.5314794,9.116265
394,5.9865856,8.726372
396,7.241415,9.410165
400,9.288679,8.88523
402,4.4589725,8.555724
403,4.896626,9.92627
405,6.2915773,8.852598
408,4.288492,8.742217
411,6.804031,7.7510033
412,3.6589258,10.137125
415,6.1992784,6.7116284
424,8.130546,8.788847
425,8.508674,9.043742
428,7.283297,9.143841
432,5.20487,9.68804
433,6.5511155,8.2553005
437,6.2071013,9.185158
442,7.3786874,9.2287
446,6.7101035,9.038247
447,6.52166,9.057626
449,6.7945514,8.2293625
453,-0.268203,6.3639917
455,4.24626,10.176147
456,8.785218,8.313573
457,4.2544723,8.18534
466,4.401938,8.268541
467,4.1796103,8.991342
468,6.3310447,9.523451
469,4.8135266,9.953196
472,5.5770454,9.623442
475,0.7398196,9.048371
476,5.77307,8.340229
478,4.478217,9.662889
480,2.6877677,6.0872965
483,4.1607485,8.988374
486,6.561915,9.177012
487,4.20717,8.781113
490,4.175056,8.900023
491,6.796681,10.041386
495,6.908255,9.535336
500,6.345282,8.813008
503,3.1906118,5.814375
505,6.427632,8.9965515
507,9.9471655,10.189686
508,6.776673,8.60699
510,6.859515,7.873792
511,8.126309,8.923356
512,8.024047,8.5976305
513,7.4252706,9.108427
518,3.2037516,5.815218
523,4.396893,9.850123
525,7.031668,9.501942
528,3.7605407,10.421943
529,4.520255,9.739431
530,4.2861137,8.168317
531,6.973007,7.8617845
534,4.388021,9.75317
535,3.9893413,10.05554
537,6.2199073,9.159784
539,3.5433567,6.7822313
540,4.1401067,9.037531
541,3.452206,6.667757
542,-1.7512953,5.8375077
543,3.254372,5.87441
544,2.7818816,7.706901
547,6.486534,8.530894
553,4.6538143,9.249333
556,7.788533,9.201615
560,4.198916,8.971626
568,7.1416144,9.062671
570,5.976148,9.502592
571,9.636852,9.008633
573,7.2598248,8.92812
574,5.262282,9.623475
577,6.0547466,8.592722
579,4.120052,10.250336
580,7.756728,7.8587084
581,4.166787,8.149603
582,6.691996,8.791544
586,6.591019,8.5229435
587,4.0618734,10.2695675
589,7.7509665,8.537599
590,4.314081,9.609854
594,4.072007,9.242358
595,4.1714654,7.702498
596,3.3416362,6.3809714
597,7.151509,8.314327
600,4.5853024,9.478126
601,-0.2084565,3.9712021
602,3.192784,5.8143964
604,3.4142735,6.592415
607,4.0975175,8.105235
609,6.67123,7.607063
610,4.202651,7.6863856
611,4.354671,9.808845
613,4.3634677,9.875716
615,3.1692193,6.4041204
618,3.8569162,9.64682
621,4.732352,9.414068
622,4.7540054,9.931425
624,5.784892,8.250897
627,3.2020874,6.3323245
629,7.1520767,8.992865
634,10.022485,9.269564
640,7.3246093,9.574527
643,4.12728,10.07687
644,5.995967,9.2631235
645,3.4886916,7.8474216
653,6.143975,8.473309
654,6.5857677,8.303778
655,0.6153843,9.001822
657,6.064415,8.855651
658,5.7346983,7.278419
659,4.204843,9.698841
660,3.6586242,10.142343
664,3.3155916,6.477235
665,3.1555395,6.284298
668,3.683892,7.119162
674,3.9112418,7.2156334
676,1.5758104,10.614906
677,4.081932,10.167691
678,4.0997257,9.833179
680,4.223135,9.588865
683,3.7999005,9.853433
685,3.7934124,6.9481926
687,9.564701,8.930779
691,5.037663,8.015201
694,8.4508915,8.035584
695,7.3586416,8.963594
