idx,x,y
0,-2.7307,4.15475
1,-3.1529436,4.0928683
2,-3.160872,4.0726404
4,0.7789054,3.2204075
5,-3.131713,4.090038
7,-3.013317,4.0999813
8,-3.062867,4.07192
9,-2.9828618,4.111264
10,0.7207277,3.2114923
11,-1.2629567,4.063029
12,-2.924501,4.1303525
13,0.85990506,3.2376027
14,-2.6063204,4.086698
15,0.7086964,3.2390964
16,-2.7651167,4.2210827
17,-3.1284115,4.0842795
19,-3.066265,4.1198287
20,-2.5283647,4.2507424
21,0.9730784,3.3184965
22,-3.0962846,4.085331
23,1.1568428,3.6572747
24,0.082360454,3.5308747
26,-2.9414072,4.0385613
27,0.72671044,3.291382
28,-2.4757438,3.5907161
29,-2.6653585,4.309198
30,-1.6702698,4.603591
31,-2.708114,4.3212175
32,-1.884912,4.4201593
33,0.38178572,3.6658397
35,-1.6892327,4.7078424
36,-3.178158,4.0406904
37,0.0103562,3.5457227
38,-1.6080847,4.359706
39,0.227288,3.567263
40,0.8634731,3.6412609
41,0.8942683,3.3822398
46,-2.9890716,4.0658674
47,-0.59519047,3.7258623
50,0.64440227,3.967668
51,-0.5005301,3.6828406
52,-1.7513723,4.7259774
53,-1.2319226,4.4465094
54,1.2881513,3.8128984
55,-1.3323385,3.9603462
56,0.4438865,3.5221899
59,-1.8011996,4.5279737
61,0.64739734,3.6027882
62,0.7972869,3.5765522
63,-1.4640915,4.505301
66,-2.321986,4.250911
67,1.3020188,3.7854373
68,-2.160254,4.165733
69,1.5485016,3.5664506
70,1.8213214,3.8567824
71,0.89481795,3.9782977
72,-2.3252137,4.329996
75,1.5983117,3.501562
76,1.1219628,3.5379117
78,-1.2184312,4.525887
79,-2.3146117,4.1945424
80,0.21293923,3.6128733
81,-1.5206083,4.0615315
83,7.8773026,4.2537713
84,1.7278329,3.6183515
85,-2.163528,4.425156
86,-0.38586602,4.627203
87,0.43747482,3.6020174
88,-2.0488243,3.812237
89,-0.6082022,3.804149
90,1.3206037,3.7948408
91,0.56451356,3.754754
92,-0.64795953,3.8235233
94,-2.3916948,3.5583606
95,-2.3756618,3.521059
96,-2.4222941,4.225749
97,8.653278,3.441782
98,-2.8572881,4.199905
101,0.10341568,4.0875254
102,-1.5079647,4.1492863
103,1.7510004,3.9128058
104,2.0106874,4.0753994
106,-0.61482036,4.5709443
107,0.43323958,3.8284092
108,-1.564511,3.8733325
109,0.8444565,3.9239142
111,-1.6287432,4.6780877
112,2.1644797,3.583993
113,-2.2435286,4.5238123
114,-2.3926573,4.463025
117,-0.2694355,3.8721428
121,0.34875044,4.1356997
122,0.31791073,4.1250196
123,-0.03957499,3.7554982
124,-2.5997977,4.0182633
125,-1.5160784,4.56569
126,-1.4267159,4.0188417
127,-2.373154,3.5905714
129,-1.7013946,4.073969
130,1.2781126,3.9521616
131,1.6723763,4.0179887
132,1.4741291,3.9229054
134,-1.2972807,4.3019743
136,1.6465733,3.8923078
138,1.565924,3.955618
139,0.4370436,3.9329948
141,2.2370617,4.2238398
142,2.2347283,4.23983
143,2.0773706,4.1462336
144,1.5615966,3.9790184
145,0.08917006,3.615901
147,1.1182652,4.077703
149,-0.026703639,4.103741
150,-0.14145896,4.2101846
151,4.1335487,5.2816772
152,0.3948595,4.464469
153,-1.5864381,4.529244
157,0.7015044,3.6998081
158,-0.71669334,3.856877
160,-0.83031917,4.2075915
164,1.996734,3.7276247
166,0.66084164,4.238991
167,2.3265228,3.9949439
168,2.2645102,4.169579
169,-1.6265782,4.0298796
170,1.6031328,4.027917
171,2.0503855,3.5490184
172,-0.86451566,4.650933
174,1.0170189,4.1529217
175,2.011804,3.860246
176,-1.8884377,4.1248326
178,1.5156219,4.3554196
179,0.39181113,4.2399154
181,-0.444406,4.4438815
182,-1.6834648,4.0732756
183,-2.3125048,4.4479303
185,0.046335455,4.5656986
186,2.1477754,3.6013699
187,0.69445056,4.812041
189,0.8946703,4.314973
190,0.2801502,4.1294384
191,-2.203913,4.535782
193,1.3437674,4.5547724
195,0.14035617,4.0704565
197,-2.465554,4.4482408
199,-2.193984,3.7703123
200,-2.0923464,3.8115506
202,0.6050251,4.8921185
203,0.32376713,4.340918
205,-0.5769612,3.969385
206,1.4757336,4.5693126
207,3.4764416,4.1886735
208,2.1754773,4.1666894
212,0.12586896,4.4664445
213,0.19495407,4.5462527
215,1.1744782,4.5125375
216,-1.509192,4.6043983
219,1.8694015,4.1881533
220,-0.8602923,3.966949
221,5.10699,6.4530296
228,-0.7006823,3.943395
229,-1.6566646,4.8318715
230,-1.5192591,4.7479553
232,0.26515287,4.3080964
233,-1.76088,4.850696
234,-0.117056936,4.542653
235,5.1082478,4.233917
237,2.691909,4.8429184
238,-0.5398265,4.015946
240,2.3662086,4.090818
241,1.8974363,3.996227
242,1.5664023,4.5397954
243,0.018719118,4.6987925
245,1.7394769,4.230547
249,-0.5777071,4.0491605
254,0.55684716,4.8500514
256,2.6549518,4.816328
259,2.092176,3.9665437
260,2.77333,4.7519836
262,-2.3610492,4.345493
263,4.891418,4.2150373
267,2.197605,3.587296
270,-2.1333716,3.957534
271,2.2786362,3.6877344
274,-1.178414,4.145212
276,-2.3119202,4.4323416
277,-1.409668,4.3714724
278,1.6961994,4.281878
289,4.6496186,6.2845516
290,1.235196,4.7561336
291,1.3161951,4.4481406
292,3.2230349,5.5069327
294,3.1875985,5.4848456
300,2.9368827,4.6916337
302,4.8954277,6.197885
304,2.4222283,4.972993
305,2.2297363,4.290373
306,5.517091,6.2607408
307,2.8422804,4.7269883
309,6.935813,7.5495043
310,3.0273879,4.7614636
312,4.8079805,4.3361096
315,0.8579961,4.5524917
322,-0.465216,4.2728806
324,4.8848715,6.278088
325,-0.670636,4.7256503
329,-2.4506907,4.4702024
330,-2.4442134,4.4740953
331,3.0892463,5.1487556
332,1.436129,4.711536
334,3.4756536,5.760892
336,5.219895,6.3593645
339,-1.1031785,4.849765
340,5.774793,4.2196164
341,2.6147718,4.847584
342,-0.803802,4.6537724
348,-0.6335979,4.7078676
349,2.642693,4.7049994
350,3.30236,5.6405687
352,1.5070884,5.0217133
356,-1.2329377,4.6500716
358,2.4158049,4.760094
359,7.706373,5.8344693
363,2.4778695,3.6051235
368,3.1769006,5.263357
369,2.9552283,4.937713
370,0.8308254,4.5619206
371,5.624587,4.3962045
374,0.25489825,4.9566936
379,6.5647116,3.1424382
383,0.72014356,4.8466
384,0.6937166,4.543191
389,4.203616,5.256693
399,5.1445665,6.503896
400,-0.7055831,4.1699924
402,5.7104826,5.964001
403,4.9171042,3.8847196
410,3.3538904,5.335472
411,3.898216,4.7654243
412,5.5456395,3.4502237
414,3.5875175,5.8212323
419,3.5630784,5.800204
420,3.0103018,4.765215
424,1.2139477,4.885556
425,-0.032576796,5.0142303
426,-2.2540703,4.3254447
457,5.682868,6.2675424
458,5.53709,6.6369324
459,4.7562537,6.1805763
461,5.0859933,3.8839154
466,5.398678,6.3076315
467,5.875221,4.3418126
469,4.87105,3.8192518
472,4.6473756,4.490641
475,8.571987,3.0633526
478,5.345105,4.2076178
479,5.811536,6.737436
483,5.8306656,4.2101064
484,5.8396935,3.1618862
485,5.9950233,6.834422
486,3.1164029,5.123555
488,5.294752,6.341594
490,5.849691,4.2778225
491,2.159167,4.362893
495,3.5799937,5.7874475
498,5.051371,3.7777133
501,4.796151,6.066256
503,7.0033917,7.511783
507,-1.3523977,4.951282
508,2.846087,3.7491133
511,0.36377347,4.527148
513,3.0592525,3.781944
514,-0.50778115,4.7583475
518,6.968468,7.5192375
523,5.196432,3.9732199
531,3.4621196,4.632559
535,5.381029,3.4368448
539,6.524379,6.8177133
540,5.8317747,4.1676264
543,6.982051,7.5007586
544,7.025116,4.760353
546,-2.3746161,3.5765057
551,5.729203,4.536851
561,6.047323,5.5778546
565,-0.7891057,4.634535
566,-0.6165526,3.9970908
568,3.1504626,4.022786
569,3.586722,5.7665367
572,2.9924312,3.7208312
577,3.9743497,5.48804
581,5.8418965,5.9467897
583,3.6142366,4.4516764
587,5.2901354,3.5420332
591,3.909225,4.3665314
592,5.225865,3.5806124
594,5.7947793,4.2276525
595,6.16109,6.2327113
596,6.7626877,7.183535
600,5.7554417,4.7897434
602,7.0110283,7.5008307
