idx,x,y
6,2.6468496,3.3834584
34,2.4290674,3.7155173
40,3.6703336,3.440235
42,2.6042695,3.5401413
54,5.008034,5.684091
55,2.2205503,3.8888776
57,2.1334705,3.8808157
60,5.08542,5.7754917
66,1.9239273,4.111269
67,4.9899797,5.833184
77,2.004344,4.325366
86,3.365584,3.234089
88,1.9557726,4.218313
89,2.4481707,3.8897386
90,5.1587744,5.635073
92,2.3902268,3.8006494
106,3.4157367,3.2423935
118,2.3950608,3.9717774
120,3.6772816,3.4432595
124,2.0593626,4.2929993
130,5.165838,5.7226257
136,5.5015693,5.850778
137,3.5633407,3.3926494
141,6.6002693,5.7291293
142,6.61061,5.742555
144,5.5779805,5.687616
146,3.3867192,3.2730598
151,7.2233853,4.430751
152,3.9155324,3.690165
154,4.947958,5.321972
160,2.5824747,3.9205058
168,6.47368,5.6466546
173,6.456861,5.6006455
177,5.459782,5.492511
178,5.2903237,5.4824986
179,4.934391,5.170224
181,2.8873804,3.9546947
184,4.9111977,5.1689315
187,4.545585,3.7310157
190,4.783677,5.0550385
194,5.6505804,5.699494
196,4.99775,5.0868673
202,4.742999,3.8340163
221,6.8649607,5.6419444
231,2.1852736,4.233325
234,3.558058,3.6785681
254,4.5547767,3.756529
255,7.150533,5.7530494
258,5.9031086,4.150826
268,5.6124916,5.7942076
269,5.7230096,4.875042
288,7.480415,4.9575586
289,7.2834816,4.7172656
294,6.2088575,4.5100822
302,7.731766,5.0236263
305,6.3217106,5.472625
313,6.6479683,4.6738286
318,7.716798,5.6764274
324,7.631313,5.086738
325,3.1699343,3.6407533
328,2.2013183,4.492221
339,2.3995156,4.329959
343,3.1398196,4.4267807
347,6.0433655,4.6940937
348,3.1990242,3.6169875
352,5.1272326,4.579438
358,6.027403,5.220633
359,10.053465,5.6887755
374,4.370434,4.1819177
385,5.6025753,4.130945
390,4.4879255,4.379683
399,7.342351,5.2063665
406,11.938969,5.3854733
429,6.1070175,3.8583934
430,7.6272326,4.62366
435,6.085447,3.7880464
441,6.5288315,4.1588306
452,6.502702,4.246445
458,7.817997,5.9165783
459,7.783532,4.801144
464,4.596985,4.0829773
465,8.354845,5.9935904
479,8.139978,6.250718
481,8.347816,6.37136
488,7.768021,5.573589
492,13.305369,5.7427745
494,2.3722773,4.6147804
496,6.6639566,4.338956
501,8.169607,4.7685137
503,8.873861,6.77075
504,3.1997364,3.668143
506,2.1623068,4.5062904
509,3.6846702,4.3961425
514,3.2417507,4.1082697
525,5.654971,3.7218342
533,7.861122,5.0034947
539,8.484257,6.421744
543,8.845548,6.782039
546,2.0938492,4.4856963
550,5.935587,3.811937
558,4.16479,4.173946
565,3.237591,3.32129
566,2.6371038,4.146388
569,6.2647533,4.0142846
578,6.0247293,3.9507859
604,8.541629,6.513495
605,8.633368,6.543187
614,2.3707252,4.556948
631,3.2604597,4.602585
674,8.710546,6.2089067
686,8.221224,5.7975116
692,5.5279055,5.739499
698,7.083067,4.467224
704,8.251875,4.660034
722,8.464684,4.465677
730,8.246592,4.8429947
734,8.851529,6.2523427
742,8.3056965,5.038187
744,3.6623273,4.5064783
754,8.149337,5.989592
766,10.523143,5.951043
769,8.791823,6.168799
810,5.862254,3.6008117
812,5.676527,3.6029658
837,8.8664465,6.085801
848,8.467406,5.782527
874,8.63744,4.4316187
896,9.236413,6.418824
899,3.3453512,4.625214
926,8.571324,5.491363
934,9.321431,6.314248
942,8.573796,4.7573023
977,8.085763,4.490966
1029,10.401301,6.782459
1062,4.72662,4.932016
1078,9.219772,6.350469
1101,9.177619,6.9676647
1108,9.529481,4.637964
1121,8.901837,4.965238
1142,13.219377,4.9522047
1198,9.558247,6.190042
1246,9.910722,6.190974
1257,9.100507,4.4174256
1277,10.7552595,6.9573326
1287,13.220402,4.6012616
1293,9.796331,5.0417824
1306,13.192245,5.2458177
1354,10.4409685,6.6493073
1382,9.71081,5.977261
1426,10.575581,6.7922583
1471,8.725214,4.424112
1481,10.896266,6.5597763
1521,11.418022,6.1963086
1541,3.0764315,4.6967354
1555,9.576981,5.338829
1562,13.240359,5.581579
1580,12.365045,7.0489297
1587,9.398375,5.2128963
1594,9.158715,4.4790754
1617,9.32227,4.4995394
1620,11.3212595,6.085618
1656,11.033395,7.070903
1676,13.206923,5.5081778
1680,13.0968275,5.396853
1682,9.225598,4.546875
1695,3.2635672,4.680494
1698,10.513313,6.3910646
1709,12.519822,4.9103827
1825,10.579778,6.3226004
1856,10.935425,6.8103476
1857,12.487148,6.9781175
1900,12.818179,6.9856534
1947,12.355525,7.0173435
1950,13.391347,5.9384007
1951,13.114414,5.3390217
1983,11.588759,7.163179
1984,11.558589,6.117936
1987,8.844902,4.0653954
2064,12.760401,5.100295
2067,10.957224,5.291093
2114,10.703804,5.9353724
2116,10.504351,6.0680223
2119,10.9069195,6.347322
2136,9.959598,5.1400485
2162,11.218449,6.9378753
2182,12.508045,6.176903
2235,11.78814,5.097236
2247,8.835631,3.969762
2258,12.491052,4.869497
2270,11.167544,6.9226985
2272,13.245694,6.636291
2292,13.048604,6.8235445
2294,3.1220183,4.9642725
2389,13.111646,4.774202
2396,10.8623495,5.97662
2443,13.135037,4.529407
2590,12.647681,6.898821
2653,11.38377,6.7827
2681,12.433835,6.6244607
2805,10.887563,5.6970773
2811,12.999929,4.4762015
2821,11.929182,6.4028845
2899,13.29557,6.3105235
2994,11.955251,6.3921075
3038,12.709479,6.530235
3059,12.842647,6.628087
3129,12.2380495,6.534315
3150,12.004023,6.745519
3203,12.960968,6.756334
3208,12.146861,5.972432
3271,11.832032,5.3353186
3281,12.030274,5.878391
3296,12.129721,4.784818
3328,13.036153,4.646087
3402,13.279546,5.9159336
3403,12.431658,6.140194
3580,12.887448,6.6846423
3613,12.330217,6.6269565
3663,13.083064,6.78882
