idx,x,y
18,-1.7803134,11.24205
40,-1.9498322,11.1605425
42,-1.6598572,11.227382
55,-1.618536,11.217868
58,-3.3157606,10.200764
66,-1.4666394,11.267176
70,-3.1241486,10.396538
73,-3.2401497,10.2972
77,-1.4300303,11.260063
86,-1.844942,11.16673
88,-1.4326516,11.250214
89,-1.6390603,11.171044
103,-3.060811,10.413686
106,-1.797885,11.093819
117,-1.6841753,11.110594
118,-1.6302451,11.1875925
121,-2.1803102,11.163191
130,-2.943777,10.5451975
131,-3.3364558,10.238775
133,-2.8872685,10.572169
136,-3.2728553,10.315274
142,-3.379029,9.988799
148,-2.894626,10.567093
150,-1.8677721,11.17532
152,-2.104781,11.065682
155,-3.3852906,9.606659
160,-1.6899824,11.206926
164,-2.9926267,10.202726
167,-3.2592568,9.312701
173,-3.39486,9.861022
178,-2.936973,10.484937
179,-2.197976,11.106037
181,-1.6795512,11.131349
184,-2.3398237,11.01305
186,-2.9281967,10.056341
195,-2.0442092,11.163624
196,-2.3097131,11.006811
198,-3.3295045,9.959439
202,-2.156498,10.452379
211,-2.6553733,10.447691
219,-2.975515,10.248182
221,-3.3956847,9.893241
226,-3.4039123,9.034361
227,-2.8727598,10.405363
231,-1.4101781,11.109004
234,-1.8305973,11.060909
235,-3.480758,8.666089
238,-1.7298772,11.179758
241,-3.0004334,10.335747
243,-1.7928534,10.877571
248,-1.7227201,10.853474
251,-3.3617866,9.898545
252,-2.943726,10.274307
254,-2.1230576,10.510803
258,-2.488731,10.243223
263,-3.3388214,9.057675
265,-1.2306161,-0.9404722
268,-3.2842638,10.248525
272,-4.4290357,7.234107
284,-2.5345325,10.071141
285,-2.5776956,9.452793
289,-2.5281887,9.521475
298,-1.2010642,10.841676
306,-3.8739498,8.120522
309,-4.393014,7.2378345
311,-4.399516,7.3173385
318,-3.6696477,8.091497
319,-3.8835227,7.96012
321,-2.0433302,4.9239798
323,-2.4857266,9.268331
324,-3.0746136,8.204755
325,-1.7838426,11.04691
342,-1.4630816,11.028862
343,-1.4506243,10.911096
345,-2.4149485,10.059007
347,-2.3979115,9.840174
348,-1.7965926,11.027713
349,-0.91421247,9.875692
350,-2.4917667,9.929954
353,-2.2403257,9.60406
359,-1.3327962,7.3390827
361,-2.560081,9.393043
362,-1.7607319,11.069395
364,-3.699255,8.2461815
370,-1.0660787,10.102379
374,-1.9699918,10.582762
375,-3.0993085,9.079756
385,-2.3630729,10.343153
390,-1.873485,10.556418
391,-2.134902,9.918887
393,-3.6971574,8.156756
394,-2.4619672,8.857583
395,-2.3096375,9.262473
397,-2.6027453,9.014043
402,-3.4592252,7.8581414
403,-2.9372938,9.077767
406,-0.5522128,4.4469037
410,-2.3927455,9.4849
411,-0.8248127,9.33182
413,-3.590725,8.389271
414,-2.4819274,9.904011
416,-2.0607457,9.623229
417,2.3176165,4.6997724
418,-4.0782976,7.7307634
423,-1.5371723,11.031075
427,-0.8790159,10.111894
429,-2.3888476,9.968682
431,-3.7396936,8.04317
433,-1.8389354,8.849674
434,-2.7026408,9.122998
435,-2.3474,9.847265
436,-2.3887868,9.777763
437,-2.5744965,9.243158
438,-2.3630605,9.122884
440,-3.7610502,8.0254345
441,-2.4453707,9.85109
443,-2.7460387,9.268892
445,-2.2850535,9.499927
450,-3.732673,8.120053
452,-2.457538,9.83689
453,0.26204807,1.4501789
457,-3.543478,7.8869157
458,-3.7829247,8.004461
459,-2.9825227,8.109314
460,-3.4432633,8.354943
464,-2.025928,10.493091
471,-4.242032,7.3912964
472,-2.8881218,9.06122
473,-1.8967679,8.791302
481,-4.08177,7.5445533
485,-4.1782556,7.581337
492,5.308972,5.862633
496,-2.427895,9.817028
499,-3.7324455,8.062417
503,-4.409319,7.194748
506,-1.4262344,11.126073
514,-1.5798823,10.993086
515,-1.8397081,9.578949
516,-2.2216005,7.812607
518,-4.401479,7.204504
520,-2.2295697,9.712496
521,-1.0342007,9.395407
522,-2.447522,6.0657816
524,-3.490588,7.6988206
525,-2.2698052,10.080775
527,-2.906117,8.3310795
530,-3.2637138,7.7507315
531,-0.8858175,9.4496765
532,-3.269296,8.845938
533,-2.882165,8.069166
534,-3.2311275,8.824722
540,-3.4574494,8.670733
543,-4.355657,7.149504
546,-1.518541,11.207557
551,-3.2736151,8.745842
552,-3.2123215,8.833656
554,-2.7331626,8.871995
555,-3.7168813,7.9969153
558,-1.9617566,10.536496
563,-2.408251,9.811997
565,-1.7705026,11.127851
566,-1.6112878,11.085233
567,-2.312219,9.054659
569,-2.3772066,9.95293
572,-1.8959125,9.329305
578,-2.3647935,9.973781
593,-3.430296,8.690976
594,-3.4042473,8.708593
596,-4.1109095,7.041561
598,-3.2895558,8.794816
604,-4.071289,7.132678
615,-4.05028,6.816091
616,-0.9720957,9.634319
618,-3.3156335,8.744834
619,-2.0943456,6.683613
623,-3.3662744,8.730627
630,-1.9171199,9.384103
631,-1.2468691,10.751191
636,-3.3592515,7.7221766
638,-1.9750124,9.115989
639,-2.896881,7.787669
641,-2.104994,9.412278
646,-3.434839,7.4183307
649,-1.9489487,8.320437
651,-2.7269208,8.761055
652,-0.70780295,9.44055
653,-2.0404413,8.805831
656,1.9242212,5.698779
664,-4.036089,6.854326
665,-4.130774,6.8216953
673,-2.3742104,9.832481
679,-3.6118667,7.064587
681,-3.3663197,7.418976
682,-4.306893,6.984726
683,-3.2183676,8.693268
685,-3.6637018,6.293978
686,-3.4809546,7.7148776
688,-2.0564837,10.410326
689,-1.7911983,9.126311
691,-1.3564485,7.4213676
692,-3.284676,10.270604
697,-0.84171057,10.274751
699,-3.3971534,7.5963817
700,-1.2376723,8.803213
701,-3.5453389,6.6415267
703,-3.1750472,7.5112367
704,-1.9462053,8.209273
705,-2.7905118,8.732287
707,-3.342911,7.451593
710,-3.0815225,8.543697
711,-0.7510703,9.39238
721,0.14972696,-1.813676
725,-4.148565,6.542637
726,-2.6023102,8.013764
727,-3.411306,7.4827743
730,-2.7674236,7.9883547
735,0.5192979,1.4150304
738,-1.3459843,8.690876
742,-2.8472817,7.7458115
743,-3.633883,7.4557056
744,-1.4389367,10.636121
745,2.2220752,3.7546537
748,-3.678501,6.833771
751,-3.3238766,8.804322
752,-4.238124,6.922016
754,-3.4353225,7.591085
756,-3.2233768,7.3939743
760,-3.5914435,7.0089884
766,-2.0875015,4.9031057
778,-3.743576,6.7295246
780,-3.3267095,8.760298
782,-3.9783623,6.793768
783,-2.2555285,7.917368
788,-1.4610442,11.205006
789,-3.5093472,8.51961
791,-1.9823006,8.625954
792,-3.3686934,7.3944144
793,-4.333509,7.292414
795,-3.3619368,8.507256
796,-3.4062865,8.594831
797,-3.6731482,6.9495797
798,-2.4619687,8.011986
802,-3.3923173,8.786254
804,-3.6486087,7.040711
807,-2.4521449,7.9396353
809,-1.2545959,11.010089
810,-2.3457618,9.961022
811,-1.6538193,9.311141
814,-3.2130013,7.3249583
815,-1.7782665,9.552743
816,-3.6740766,6.3821626
817,-1.8293672,8.661339
819,-1.9977655,8.362493
820,-1.7034211,8.373768
822,-3.0088453,7.453898
829,-3.9067578,6.624664
831,-2.9588265,7.405739
832,-2.6714854,7.663583
833,-2.4710987,7.6651664
835,-2.0381725,8.159549
837,-3.4154022,7.078016
842,-1.92076,8.678111
843,-2.498148,7.8578143
846,-3.3786256,8.541293
847,-0.5257387,-0.40284118
848,-3.334326,7.429699
857,-4.03641,6.690757
858,-2.7516348,7.7647576
859,-4.3032007,6.76355
868,-3.0238192,8.514505
