idx,x,y
2,-0.43208903,4.1403017
3,-0.5198109,4.285899
11,-0.21076587,4.0100937
58,0.637491,2.4398587
65,-0.49187133,4.4153776
72,-0.4636383,4.40743
99,0.38484952,4.9903226
119,-0.39512128,4.55702
164,0.5617208,2.8754108
186,0.7265667,3.717453
198,0.7309342,2.3081107
204,0.10136079,3.8762836
205,-0.14297551,4.2434464
210,0.5121895,3.0300262
247,0.17364877,3.8652952
252,0.5446874,2.8012679
273,0.7364583,3.435511
280,0.9799514,3.816552
281,0.92124015,3.9588363
283,0.75441104,2.3761292
285,0.739909,2.419149
298,-0.38110176,4.678496
299,0.45428133,3.4093738
303,0.8323168,2.2434502
308,0.8431427,2.3035364
314,6.8654933,4.7479854
316,1.0180833,4.1112585
345,0.8175021,2.6184132
350,0.7471019,2.570792
351,-0.20254114,4.51956
354,0.9022687,4.0229487
356,-0.30644232,4.4792247
367,1.4270437,2.1818125
370,0.03674079,4.2019763
372,1.437425,2.1348026
377,1.085051,2.0329082
388,-0.060076304,4.2991705
398,0.5199072,3.5924177
405,0.94733095,2.418975
421,1.2443395,4.4026647
433,1.9312862,3.6903765
442,0.88836026,3.707898
444,1.0249501,3.4172108
446,0.9325219,3.437452
453,9.9923525,2.9191372
468,0.7098133,2.3686655
497,1.3780416,2.231862
500,0.9851289,2.7091424
512,0.5293152,4.2718334
519,0.04217391,4.8580055
527,2.4087138,1.7881817
534,1.7272582,2.0610518
538,2.6990297,1.9519978
548,3.0905075,1.0989369
574,1.2652344,2.2612677
588,1.5792198,2.0829957
590,1.6729827,1.9851319
606,2.366006,3.200453
608,4.0165577,0.8337788
613,1.8924478,2.1327052
615,4.063814,0.87457293
629,1.0067995,3.6521184
652,0.7979212,4.594895
659,1.9089587,2.0024996
665,4.3098154,0.8371319
667,2.328022,2.6941183
669,2.0721898,3.8789306
672,1.6830307,4.4146304
673,1.0739394,2.7491863
679,3.4077399,0.9897897
683,2.178343,2.127123
684,-0.19620134,5.0524483
690,-0.2590253,5.005446
696,1.7839664,1.876693
700,1.637087,3.788668
702,1.0629131,4.0660944
711,0.80613,4.8394732
714,1.0866756,3.5530517
717,0.288289,4.582162
721,10.79202,2.2515047
724,1.2887915,4.233596
726,2.9068797,1.4760809
731,1.7355672,1.9509206
739,1.0830932,3.9678164
741,1.9078768,3.7892609
747,1.7841318,3.744021
751,1.7838726,2.0380385
753,3.2128234,1.2933636
756,3.1065788,1.2173259
758,1.5500888,2.110198
760,3.5035307,1.132948
761,3.3095434,1.1283094
762,3.8501117,1.4255197
767,3.4693346,1.6708225
782,4.1888804,0.82804257
804,3.471066,1.0611804
821,0.3092302,4.7230797
826,1.8116627,1.9220493
828,0.0759937,4.9142857
830,0.07358215,5.1511436
840,2.4136398,3.0947225
844,3.7872412,1.0165571
849,1.8998404,4.436657
856,4.3826113,0.93579125
858,2.6700647,1.73313
866,4.1785173,1.211
867,1.3040522,4.4178586
873,3.537417,1.393493
876,3.561718,0.89833885
877,1.9974055,3.8357713
879,1.6400907,3.8437908
883,-0.06143534,4.6124187
892,1.447817,4.5344777
893,3.7451391,1.5231922
911,0.4124639,4.794223
918,1.7173384,3.9062855
919,1.0293924,2.01256
944,2.3502784,2.0972764
950,2.3649719,3.1810606
952,3.2681642,1.3621262
958,3.5416934,1.3297862
963,3.815847,1.7110116
965,2.9735415,1.4276273
968,2.3484395,1.9919428
969,2.3728712,2.8133016
970,2.3568048,1.9240263
973,3.589156,1.3363854
974,4.075925,1.4309704
975,2.486505,1.8722085
980,2.3797991,2.95804
982,2.171863,3.868173
983,3.3618202,2.3580384
984,3.330229,1.4410594
992,2.3196816,2.4762485
996,4.168801,1.3532935
998,4.483423,1.0191768
1000,3.6230822,1.9187967
1003,4.45848,1.358356
1005,2.0197546,4.460223
1008,0.43675408,4.7973723
1009,1.3299764,2.3940177
1010,1.5066397,3.7342145
1013,2.404024,3.2051182
1018,2.268533,2.2157927
1021,2.3868775,2.1952662
1024,3.5581179,1.3240571
1025,2.2975838,1.8998469
1033,2.0545092,3.8488464
1038,4.0050316,5.384531
1041,0.7844767,4.255612
1043,1.8645917,3.1229925
1046,2.0462658,4.425826
1047,2.2605648,2.0357132
1049,2.0122268,1.9833869
1051,-0.035142444,5.0044737
1052,1.8838272,4.017117
1058,3.6906362,1.6371499
1073,4.319,1.4887418
1075,2.4886978,3.5138369
1076,4.4167213,2.5411885
1082,3.284074,2.1804733
1084,4.558708,1.0447166
1087,4.7563443,6.234964
1096,4.42865,1.0327888
1100,2.9802754,2.3810885
1103,1.4733812,3.3958333
1105,2.0081952,4.4899344
1114,3.3217678,2.1443284
1118,3.823914,2.7972205
1119,0.291908,4.9041553
1124,1.9224823,3.8599255
1127,2.5001276,1.8477693
1133,2.2186453,1.9628623
1135,2.519891,4.1109877
1137,4.425296,1.4803813
1140,7.044225,9.265953
1146,3.5027013,2.4817507
1149,0.2932782,4.668006
1151,1.3111392,1.7740895
1156,2.0181406,4.478166
1170,2.1384935,4.4567947
1177,0.5447168,4.843482
1178,3.5449805,2.1068356
1182,3.4318707,1.7165904
1183,1.8020821,1.8815864
1194,2.783048,3.4469662
1202,6.8194613,4.074011
1209,4.3936496,6.1435943
1220,2.5588355,2.6546848
1225,9.379213,1.864441
1234,4.99276,1.7543532
1236,5.3249855,1.4979323
1243,6.838882,5.31289
1245,3.3198235,2.4718978
1247,5.25726,1.566998
1253,5.0128937,1.2991515
1254,4.3829417,0.88487756
1278,4.75843,3.4590685
1281,5.641905,3.6123815
1309,4.8105826,6.2462144
1328,2.2278154,4.04805
1334,4.938455,3.24302
1338,2.9824667,3.1387658
1339,3.1876624,1.0295029
1340,0.59895325,4.563202
1358,2.040478,2.9096572
1361,1.7087431,3.1488545
1364,1.0011998,4.892684
1368,2.0627284,3.7987752
1369,2.3769944,4.1001983
1370,2.436079,4.144243
1374,2.1655104,4.458719
1394,2.7720084,4.531349
1397,7.5358043,5.067729
1409,2.49352,3.6202834
1417,4.4356,1.0151911
1418,4.1193075,6.123236
1419,9.857673,2.8917048
1421,4.4571457,6.273274
1429,3.5152133,1.8588128
1431,4.3111863,2.4138498
1432,4.3518147,2.0556798
1434,2.7061257,4.1096196
1445,4.702065,1.1846861
1448,4.709013,3.4090798
