idx,x,y
489,5.9970875,14.506872
719,7.331295,10.303989
1730,5.733171,12.036141
2093,5.656198,11.999266
2191,7.736709,10.160114
2591,4.970962,13.651894
2729,4.768471,10.886477
2837,5.544447,12.368573
2918,5.3513584,12.2074995
3036,7.3912196,14.003869
3168,8.03518,10.10193
3190,5.0658116,13.517335
3354,3.9667494,14.698364
3446,8.133564,10.056165
3471,4.067642,14.516482
3503,8.561146,10.050863
3557,5.3622713,12.321562
3626,3.741252,14.479356
3646,7.8122973,10.286546
3660,3.4113972,11.301268
3751,5.721656,10.62981
3768,3.582362,11.053871
3776,8.070054,11.790934
3855,2.6352627,10.127958
3861,5.6610117,12.430492
3891,8.103336,10.225242
3909,6.0429153,11.214399
3938,4.338939,12.720254
3979,5.3848057,12.952636
4002,7.812427,11.184406
4007,6.8701925,12.3927355
4009,3.6274889,11.572729
4014,4.4772105,14.44958
4025,7.625517,12.137387
4026,5.708576,13.898139
4029,3.524138,12.443413
4093,8.210414,11.648992
4096,8.363538,11.275214
4106,7.4388003,11.561967
4108,7.8976736,11.013178
4110,5.79715,13.256872
4140,2.499996,10.004254
4154,5.686249,10.823166
4164,6.4250984,14.190114
4167,7.4741783,13.51634
4180,4.499349,13.106439
4227,6.3955817,11.097185
4250,6.799847,11.968169
4306,6.532782,12.224498
4322,3.7051237,14.404209
4328,3.7730582,14.5165415
4350,6.1490216,11.974696
4352,8.086106,10.438902
4356,7.570428,13.356771
4363,6.9377775,14.174224
4366,6.9140744,13.711193
4381,8.50916,10.79968
4382,6.7853584,11.031853
4383,4.166682,11.098455
4386,6.681856,13.666568
4387,5.0349245,12.740808
4431,6.2606344,14.335708
4468,4.5684886,14.588888
4471,7.0431366,14.297376
4480,8.491293,10.212862
4481,4.0506563,12.645599
4490,6.0904016,10.901076
4491,2.3694806,9.883444
4497,8.416497,10.370887
4503,5.274674,11.049796
4508,2.266712,9.782214
4512,4.9591303,10.753035
4517,7.4625316,11.116882
4520,6.8532667,13.327272
4521,7.8709745,11.556222
4524,6.208874,13.165994
4534,5.662377,14.085557
4536,5.3718944,13.830816
4547,6.602956,12.741132
4561,3.7066457,12.038027
4578,6.6390634,13.828784
4582,6.899374,14.145379
4583,3.657806,11.154891
4593,4.245345,13.123925
4597,3.5617933,11.914364
4598,5.36926,13.979209
4600,5.519611,13.592437
4606,8.072544,10.825023
4616,7.529747,11.329686
4617,5.1098285,10.927742
4660,2.4707866,9.979622
4666,5.1709676,13.959267
4679,6.7400146,14.513412
4685,4.05147,14.629246
4689,7.0664763,11.122159
4698,2.2655582,9.782521
4706,4.2733574,11.5404215
4710,2.1592488,9.679898
4711,4.339658,14.354513
4712,4.5215664,14.020434
4713,7.055773,13.979949
4731,7.57976,13.162383
4736,3.4907095,12.470553
4737,4.1613994,13.568597
4742,6.302241,11.798411
4755,8.154237,11.002839
4757,4.031351,11.356078
4759,3.6453176,12.690535
4766,8.281545,10.719236
4802,4.5941725,12.871657
