idx,x,y
3,5.8748455,-2.19481
24,6.2887163,-0.9676488
25,5.8605146,-2.1493928
45,5.8547606,-2.0519032
49,5.9070706,-1.552445
60,6.1954417,-0.1328782
65,5.836944,-2.2127373
69,6.253883,-0.31852567
77,5.807072,-2.1368306
78,5.742557,-1.865614
80,6.137595,-1.1422253
82,5.792398,-2.1789727
84,6.2038903,-0.20365
95,5.7774773,-2.2018266
97,10.393817,6.133235
100,6.266467,-1.0251163
103,6.1262336,-0.18642227
104,6.094438,-0.02671485
112,6.606917,0.1853836
116,5.8139844,-1.9632894
119,5.802586,-2.1917043
135,5.9499025,0.32177705
140,6.29142,-0.40202457
145,6.2849245,-1.0075891
156,6.2419586,-0.9709319
157,6.2761135,-0.9110695
165,6.2937007,-0.43534815
167,5.878019,0.7569748
172,5.607509,-1.8700855
176,5.841059,-2.1369133
180,5.546476,-1.3991216
189,6.1857214,-0.9584813
192,6.604489,0.50265956
214,6.032741,0.14086995
216,5.849093,-2.0525067
222,5.5980043,-1.1810932
226,5.832635,0.8387115
236,5.9279866,0.9092835
237,5.503468,-0.11524043
239,5.7503614,-2.0733654
244,5.5599527,-1.7953384
246,6.561077,0.1510913
248,5.7612,-1.3467414
250,6.5751567,0.07797243
257,5.939856,-1.0146849
264,6.5257053,0.86671585
267,6.3571973,-0.3422563
270,5.80631,-2.1969364
274,5.7904654,-2.0694542
280,6.128347,-0.013839327
281,6.379878,-0.3077583
283,5.2000756,0.10955034
286,5.3018656,0.19066441
287,5.799119,-2.2045689
288,4.9390893,0.008357609
297,6.3096066,-0.41781703
298,5.8133845,-2.098836
301,6.2159705,-0.8182578
310,5.3907657,-0.009560735
312,5.370176,0.7412242
314,1.048752,4.4966235
316,6.4262705,-0.2625233
317,6.3531895,1.0875597
323,6.112509,0.5411109
326,5.5079007,-1.8111124
327,5.6822867,0.3682571
333,5.396494,-0.31846654
335,5.596087,-1.920683
346,5.9470673,0.8969712
349,5.337415,-1.0062586
351,5.819772,-1.6802531
354,6.3015895,-0.44919938
357,5.728861,0.88664865
360,5.278628,-0.11501585
363,6.2789316,-0.35371885
365,6.30026,-0.24281405
376,3.9789314,1.3970114
377,4.384287,0.9393387
378,6.00519,1.1478684
380,6.4008613,0.94088113
382,6.274468,0.9415566
383,5.203592,-0.51571214
384,5.8547673,-1.3520594
386,5.2992663,-1.1615524
396,5.980072,-0.114174195
404,6.3491254,0.8702883
405,4.836059,0.18515795
406,-0.056781717,2.150546
407,6.6162004,0.37444267
408,4.1054487,1.3528049
409,4.545698,5.0209093
410,5.105821,-0.008299189
416,4.9410257,-0.5050575
421,6.007289,-0.21635744
432,5.2823462,0.44148797
434,4.993494,0.29328075
438,5.8577313,0.6511536
439,5.7197647,-2.0810342
440,3.9804108,1.149716
444,5.276306,-0.058697157
448,6.4573326,0.83352864
452,4.572804,-0.17415637
454,4.979706,-0.028043915
455,6.0955734,0.978301
456,5.2197585,-2.018177
462,5.83048,1.0842102
463,4.4738803,5.081762
470,5.1958294,1.0146401
474,11.1302805,9.543572
475,1.1144192,2.0690293
477,6.222825,1.4907542
482,4.0386477,1.4537885
484,6.7592845,1.2892648
485,3.8928728,1.3874041
491,5.767604,-0.10626643
493,5.304794,-1.5277766
494,5.597794,-1.9524653
510,4.867514,-0.33676547
521,5.081455,-0.7327557
524,4.3339114,0.98133826
526,6.0429983,0.9896369
528,6.6596713,0.8992787
529,5.316246,0.88942367
535,5.7267203,1.3026972
536,6.1694107,1.6973786
537,4.971321,0.028506845
538,4.2045774,1.28125
542,-3.3057585,5.992569
544,3.4291513,1.5393666
545,4.8782125,-0.48889124
552,6.158294,1.5370046
553,5.1053934,1.0020869
556,5.8206334,-1.4367762
557,5.436851,0.4946893
559,6.2642665,1.6276203
561,4.0990343,1.4628031
562,4.7313046,0.018307097
564,4.9959435,-0.5008118
571,5.725882,-2.0713205
575,5.9968014,0.33209035
576,4.038402,1.4102317
583,4.9692116,-0.6566904
585,6.157832,0.31450292
586,5.0628214,-0.12268517
588,5.805472,1.0612676
589,4.7632627,-0.66790265
590,4.9524636,0.9619108
592,6.214223,0.8922851
593,4.0590177,1.459254
598,5.3997455,1.2395338
599,5.2141676,1.653207
606,5.3414955,0.44949478
611,5.5683565,0.8354716
612,5.5646434,-1.8213134
617,5.2964516,1.53217
620,6.5475826,1.0196577
621,5.185326,1.0288749
622,5.4319797,0.2719683
625,4.826421,0.38081354
628,5.7995663,-1.9107516
629,5.149174,-0.51636183
