idx,x,y
6,7.475427,10.591424
8,6.558294,11.01184
15,8.0349245,10.173498
32,6.8186903,10.952817
34,7.005618,10.7574
37,7.4018173,10.638364
40,7.819573,10.313347
42,6.689588,10.977978
48,8.876139,9.071438
54,8.664049,9.291748
55,6.7377925,10.640887
57,6.667862,10.559512
63,7.3056874,10.663207
66,6.5448627,10.662899
67,8.758525,9.176065
69,8.912159,8.953487
73,8.907534,8.488902
77,6.4053144,10.884945
78,6.9948196,10.790909
81,6.7176027,10.79817
86,7.654813,10.261165
87,8.333821,9.672992
88,6.413071,10.670918
89,6.934518,10.486367
90,8.800056,9.106864
92,6.864378,10.508781
106,7.531074,10.245764
109,8.640893,9.318014
113,6.284904,11.000842
114,6.3105264,10.984363
117,7.0751414,10.438801
118,6.824428,10.545376
120,7.7224555,9.995312
121,8.358313,9.583954
124,6.3698573,10.699121
130,8.635839,8.98859
131,8.737916,8.779056
136,8.717277,8.819055
137,7.6563163,10.142615
138,8.805027,8.833251
141,8.756365,7.013297
142,8.733356,7.337773
143,8.885887,8.510911
144,8.684141,8.813864
146,7.5533395,10.286684
152,7.909089,9.86573
154,8.557733,9.347104
160,7.032104,10.251188
173,8.719288,6.9085627
175,8.964884,8.524781
177,8.673032,8.837351
178,8.752225,8.773057
179,8.369137,9.52535
181,7.146881,10.1542845
184,8.483275,9.339457
187,7.82474,9.178061
191,6.3431635,10.901161
194,8.540496,8.725956
195,8.25568,9.580543
196,8.385127,9.439806
197,6.260982,10.9400215
202,7.7064514,9.066687
211,8.510942,8.884136
221,8.525204,6.5260797
225,9.62477,7.358275
231,6.5102954,10.298874
234,7.460127,10.036043
235,8.508839,5.9615803
243,7.2661405,9.773071
254,7.7130923,9.242107
255,8.481983,5.9285755
258,8.126548,7.993406
265,13.538262,1.5786461
268,8.641622,8.710814
269,8.3576355,8.298275
276,6.2825537,10.851078
288,8.955503,6.6124277
289,9.06743,6.724134
292,8.339014,7.5280766
293,8.797882,6.561406
294,8.262129,7.79045
302,8.869758,6.3621235
305,8.783063,8.037039
309,8.822079,4.0707526
318,8.675599,5.9948554
324,8.953065,6.5049777
325,7.380698,10.087619
326,7.18562,9.765166
328,6.3356957,10.508495
336,8.588177,6.1861577
339,6.5145774,10.246935
341,8.502183,7.784137
343,6.7698674,9.588742
347,8.31426,7.9023337
348,7.3770123,10.050011
352,7.825318,8.57258
358,8.633402,8.1872835
359,10.786813,5.2751346
364,8.41303,5.836259
368,8.478581,7.534233
374,7.3210135,9.053882
381,9.136521,4.8156166
390,7.2517715,8.910821
391,8.130976,7.792497
393,8.488661,5.7149134
399,8.499775,6.2710834
403,9.765912,7.321418
406,15.196174,3.2730272
410,8.458121,7.4131513
418,8.612807,4.9906006
429,7.6926394,7.5594125
430,9.220355,6.6170783
431,8.49062,5.631065
435,7.656181,7.4161305
441,7.970974,7.36433
443,8.1980095,6.721417
450,8.450482,5.656527
452,8.019237,7.3457937
453,13.855503,1.6891637
458,8.495067,5.5357847
459,9.091285,6.467599
460,8.480703,6.0407276
461,9.810521,7.2426906
464,7.38749,8.866382
465,9.018239,5.0951138
467,9.244028,4.802323
479,8.571275,5.156211
481,8.91921,4.7886996
485,8.782952,4.8619647
488,8.724184,6.1661487
489,14.151459,2.9279659
494,6.4089255,10.282785
496,8.10327,7.3177457
503,8.851198,4.1078663
504,7.3160563,9.94601
506,6.3580704,10.450699
509,7.0268264,9.301507
