idx,x,y
0,1.9061881,10.752078
1,1.8971348,11.142747
5,2.0574598,11.149939
8,2.0972686,11.065938
9,2.085342,10.8862705
10,4.2488675,11.735596
12,2.0466816,10.968212
14,2.4192462,10.901494
15,4.287676,11.660774
17,1.9335775,11.160146
19,2.0433438,11.05577
20,2.4381125,10.87054
22,2.0906115,11.105609
23,4.5948577,11.790453
30,3.1491983,10.979624
32,2.870081,10.742473
37,3.9900885,11.443232
38,2.8124602,10.98806
46,2.2447035,11.034308
48,4.647345,12.008605
50,4.583182,11.614387
55,3.2595801,10.821754
61,4.5601077,11.706704
63,3.3239377,11.0138645
71,4.7529387,11.576883
72,2.4109669,10.68322
73,5.06572,12.426339
78,3.4666858,10.568192
80,4.227614,11.52195
81,3.099839,10.733396
84,4.806357,12.403147
86,3.7002366,10.648076
90,4.837931,11.920198
92,3.4951801,10.956345
98,2.0114727,10.939913
100,4.2413306,11.471471
103,5.002436,12.255241
105,4.6211824,11.863969
106,3.6533222,10.610447
107,4.282915,11.457469
109,4.5504093,11.678288
113,2.4067998,10.515633
114,2.1648054,10.481738
115,3.8085868,10.793218
117,3.8342996,11.074186
118,3.4082127,10.892683
121,4.5964003,11.285651
126,3.0873988,10.817905
129,3.0059433,10.828527
131,5.2855234,12.163069
133,4.7593493,11.906894
138,5.126373,12.140964
143,4.8954153,12.584048
148,4.8225055,11.738121
154,4.9273953,11.623571
159,2.6817613,10.558187
160,3.570218,10.775377
161,4.9823227,12.336263
168,5.0399256,12.721174
172,3.8156335,10.503266
175,4.9903393,12.445219
184,5.103921,11.5194025
187,5.6797748,11.865853
191,2.329146,10.46111
195,4.6653953,10.814986
197,2.0702624,10.352764
198,5.028346,12.699759
199,2.1818936,10.578955
206,5.372257,11.472138
208,5.024523,12.659555
210,5.3816676,11.838653
211,5.570634,11.76313
215,5.145325,11.487383
217,5.829768,11.264496
232,4.146206,11.0976515
234,3.8990371,10.778846
235,8.878463,10.706484
238,4.5730934,10.509395
241,5.172984,12.228667
