idx,x,y
2248,12.537971,10.949468
2658,10.3105755,10.3017025
2959,11.912325,10.740377
2971,10.739648,11.040035
3134,10.349223,9.200054
3191,11.206348,11.607722
3196,13.065131,7.086391
3226,10.411015,9.944797
3322,12.864056,10.35391
3419,13.310505,7.7788787
3435,10.9498005,8.847056
3547,14.00158,7.207322
3553,10.990686,10.694237
3645,11.238965,11.018286
3703,11.910326,10.23621
3707,11.590362,8.372619
3708,11.55146,10.200204
3729,10.650137,10.126433
3732,12.7042465,7.939466
3787,13.033135,7.4852633
3844,12.69381,9.809074
3923,11.098146,9.200172
4004,12.801733,9.463443
4059,12.996094,8.019105
4123,13.628487,8.303972
4135,10.754881,9.523375
4182,11.475035,8.853126
4260,12.33985,9.868387
4371,10.924828,11.506051
4459,14.14637,7.5996637
4490,12.093835,8.423316
4666,13.72371,7.7422156
4790,13.146061,9.061357
4797,13.563476,7.3225365
