idx,x,y
110,2.2082696,5.0575376
112,2.1744838,4.889929
156,2.292966,5.0759983
236,2.7337787,3.8733187
246,2.3214679,5.018052
267,2.3762295,5.02914
280,2.685512,4.9228225
310,3.3149521,4.8413877
316,2.4089074,5.267796
317,2.7815318,3.8123848
320,2.631417,5.178838
338,3.037786,3.9016263
360,3.3924959,5.008316
378,3.0395637,3.7647946
380,2.7386749,4.165303
382,2.8529449,3.9540272
404,2.6960769,4.28122
491,3.2246249,4.668467
524,4.1612177,4.609356
528,2.4549842,4.400785
536,3.3535829,3.5508015
556,2.8447037,5.6106324
579,3.1115992,4.130104
586,3.4504142,4.889438
592,3.1037338,4.225243
617,3.647085,4.057818
621,3.7606475,4.477561
628,3.0504675,5.7036796
633,2.7661934,5.082408
647,3.5452626,4.2815814
749,3.214813,4.5079074
773,3.8033109,3.349769
787,3.386915,3.6885068
800,3.9913816,3.8585742
806,3.9891796,3.5812995
839,3.7850113,3.738042
853,4.403609,4.515306
855,1.2415756,0.10885104
878,3.0723467,4.0532994
884,2.8252974,4.8445473
889,2.2081754,1.5923406
941,3.298614,4.7044396
979,4.2459216,3.3890207
985,3.6871388,3.0727985
990,4.184297,3.477
1039,4.426538,3.3145404
1091,1.3520076,0.038727634
1109,1.0430609,-0.20157997
1125,0.9307542,-0.08176203
1136,5.9771194,5.0548687
1175,5.273087,5.38344
1181,1.174266,0.576011
1211,4.810048,2.5917776
1252,4.8609624,4.6518674
1284,4.6303787,-0.27415046
1285,7.990709,3.2883303
1290,3.1568253,1.197385
1304,4.427264,0.20509505
1349,6.574132,2.8362818
1357,5.911815,5.069897
1386,4.642329,5.6002693
1387,1.1468005,0.19920133
1406,8.567959,4.2487426
1409,4.502035,4.15904
1421,4.7147865,3.1084151
1439,8.674876,4.3860455
1444,6.561424,4.9230638
1459,1.9724941,0.63528043
1476,4.7445726,3.1384304
1477,1.4129891,0.12800178
1649,4.8344703,3.6187541
1672,4.5627823,-0.23742335
1677,4.8353543,3.0542476
1687,6.8373833,3.8213844
1706,5.117327,3.292227
1747,2.064122,0.8661778
1759,1.3445821,0.5136773
1760,5.1130643,3.8131385
1763,7.5773783,4.2529044
1780,4.509649,5.444376
1787,2.0726144,0.656072
1814,5.2699437,3.676932
1818,3.1978207,5.7910414
1828,4.7016373,5.8310666
1836,5.0719,5.710377
1852,2.303281,1.0750347
1875,5.199835,4.5541215
1877,5.0540056,2.8887348
1888,6.07031,5.1933527
1915,5.6982617,3.9141028
1917,5.6022043,4.1740074
1922,0.9217115,-0.007844074
1953,5.724465,3.9648697
1954,5.609951,3.5728712
2008,5.5293407,4.2338495
2009,5.223157,-0.07790138
2013,4.246385,0.32464615
2024,1.1931369,0.5327682
2053,5.2571635,-0.027102746
2105,3.8560843,5.895574
2115,5.010631,5.804826
2123,4.370513,5.8924904
2141,5.026473,5.802642
2192,1.4404858,0.14059745
2241,7.617331,3.6326058
2268,8.621427,3.789105
2271,1.6767969,0.7605279
2277,3.867504,0.7472326
2296,5.252877,3.4823506
2300,1.5999296,0.34168476
2328,2.2928011,1.2032124
2336,6.385328,4.921178
2354,4.55527,5.7628856
2368,5.0777407,5.8786507
2370,4.778895,-0.042152558
2377,6.1706576,4.418568
2384,0.8438446,-0.01723405
2386,6.6636157,3.8531842
2397,5.03086,5.8816547
2429,5.2885876,2.4335542
2494,6.1019583,2.8432899
2517,4.221881,5.7076354
2522,3.7992532,5.9152436
2550,0.9580219,0.24025594
2613,9.053436,3.7484949
2624,7.2332525,3.2922258
2641,5.4786196,0.18929854
2650,8.858969,3.9833415
2680,6.2615924,5.0522423
2697,7.144472,3.5033166
2709,5.5933366,2.4860861
2711,5.1079316,0.14595705
2712,4.9745,-0.026935427
2713,7.545252,3.7498174
2724,2.9101973,1.1284988
2784,5.4119606,0.18543328
2806,4.4217834,0.3885338
2829,2.0687103,0.872001
2860,3.1871338,1.0343078
2866,7.650657,4.3697014
2898,4.552938,0.32863635
2910,4.291304,0.06850602
2947,6.793644,3.9817383
2954,6.850349,2.9851673
2972,7.9616466,3.3369844
2973,5.6613636,2.571691
2986,2.0911798,0.64510745
3032,8.82587,4.0288568
3113,4.4727964,-0.055861857
3177,5.851716,2.913345
3191,1.5809113,0.6560399
3197,4.5037546,0.19451158
3205,6.7325273,3.8005893
3221,4.284187,0.3051349
3227,6.6498547,3.8996027
3229,1.9759836,0.80301845
3277,7.5605283,4.01949
3347,9.243459,3.9045572
3370,9.506277,3.7727313
3410,4.5983624,0.06770371
3436,7.4785357,4.1825633
3447,6.2616234,5.1760607
3487,9.084366,3.6664367
3498,8.191138,3.5132165
3514,5.612132,0.30543765
3527,6.5806565,4.054996
3570,5.209444,6.0358553
3571,4.355134,5.919877
3590,6.1759434,2.5845752
3608,6.24763,2.5952377
3628,5.1819997,-0.017620519
3645,4.1050324,0.10366112
3708,4.7223353,0.14510071
3722,4.6135306,0.29016024
3750,2.1675954,1.0187122
3802,5.878115,2.7747219
3804,6.773406,2.972403
3811,6.8733974,4.0483108
3903,2.3413227,1.1229964
3914,1.73233,0.4336683
3926,7.4804196,3.3248124
3934,7.894202,4.0358977
3953,9.3693495,3.809299
4062,1.9037954,0.83498406
4110,9.458952,3.8009975
4151,9.298706,3.386267
4155,8.105015,3.3586218
4164,9.368353,3.3530517
4167,9.441302,3.7349095
4244,6.666545,2.7839932
4335,6.7392273,2.9010653
4351,8.712411,3.811019
4465,9.520045,3.6770759
4497,1.0461005,-0.09213678
4565,7.7685275,4.2173796
4597,9.311571,3.8127215
4713,9.474646,3.8362246
