idx,x,y
45,11.565831,9.246505
97,9.630948,6.714467
116,11.541536,9.355423
135,11.796805,7.2085667
217,11.705672,8.53417
296,11.757268,7.703635
346,11.783253,7.6266966
417,9.476087,6.2466264
451,11.66767,7.219253
474,6.571783,5.8962927
497,11.714932,7.878935
517,11.662187,7.071707
542,6.8847613,2.8910608
589,11.321518,9.30727
595,11.509472,7.27744
597,11.303406,9.130641
624,11.378101,8.299876
632,11.434926,7.630187
654,11.696253,8.646149
657,11.185887,8.417003
666,11.444678,7.7245946
740,11.519635,8.500186
759,11.463039,6.5817347
768,11.293547,7.8677654
770,11.245693,7.6265955
775,11.655357,6.847802
779,10.9400015,5.750714
791,11.297927,8.539225
799,11.227559,8.380517
801,11.474484,8.205823
838,11.613547,8.810474
864,11.617466,8.867603
880,11.198413,7.556038
912,11.580034,8.810361
924,11.219551,7.9153585
937,11.206632,9.561312
947,11.330935,7.90226
953,11.058737,7.4601483
956,10.922587,8.575959
1011,1.8458427,8.992412
1030,11.326385,6.0893073
1056,11.517828,8.867472
1059,10.6350565,8.16326
1063,10.787488,7.5268135
1070,10.870825,8.467935
1093,11.300231,6.1201167
1129,10.425139,6.960146
1132,10.71227,8.678823
1160,11.584446,9.17242
1164,11.095988,7.8743987
1167,11.51132,8.6890135
1186,10.701451,8.507333
1192,11.133726,6.4281573
1205,11.039451,7.6073303
1210,10.756351,8.332752
1213,10.145043,7.953263
1219,11.014019,7.87301
1224,10.877514,8.563047
1236,11.257187,5.5044284
1238,11.389086,5.7201324
1242,11.287917,6.078943
1265,11.174525,4.9791803
1271,10.2778225,7.173579
1313,10.852787,7.641838
1318,10.63803,10.123028
1351,10.835929,7.062812
1377,10.912764,7.3634205
1378,7.6334143,8.158085
1379,10.851441,7.418741
1395,10.712631,9.663458
1396,10.390914,8.299171
1407,10.870472,7.064006
1410,10.776384,7.0987926
1411,11.104736,5.8361754
1430,11.339463,5.6561136
1437,11.449588,5.402195
1449,11.236447,5.4137964
1482,10.006582,7.771036
1484,10.869766,6.3617654
1501,10.884023,6.176563
1518,11.587562,6.3161917
1534,10.764454,6.6469216
1549,10.405179,9.042885
1567,10.969082,9.74034
1598,10.284522,9.391962
1604,10.693116,7.6223145
1605,10.848747,10.21359
1609,8.1668625,5.633209
1613,10.493862,9.920746
1627,10.300448,7.1467786
1637,9.171304,4.1908293
1642,9.895166,7.145683
1645,11.265165,5.510963
1648,9.330052,6.8465233
1654,10.994666,5.2889285
1693,8.272535,2.264672
1707,10.245845,9.483753
1722,11.18503,5.269505
1729,10.048303,1.4635057
1735,11.199695,5.433675
1737,10.125783,7.112009
1757,8.237714,3.195942
1766,10.204761,7.070541
1786,10.474075,7.111263
1788,8.174147,3.2094078
1789,9.973803,9.246675
1791,9.682552,7.9770823
1804,8.171779,5.1912384
1823,10.300705,8.334486
1838,8.697095,6.7888803
1839,10.070426,8.886259
1845,10.679272,7.660611
1866,10.404342,5.2392497
1872,10.6519165,5.0063453
1876,8.259275,3.2106462
1893,10.841767,5.6313457
1903,7.6758747,3.4409
1905,10.856269,5.315071
1911,11.453672,5.3303466
1914,9.6093855,6.3742414
1926,9.27628,8.3354225
1939,9.47509,1.8969377
1961,10.893346,8.0227375
1968,11.562508,6.902666
1981,9.90772,7.877991
1988,11.011304,9.91567
1993,10.046701,9.664653
2014,10.23522,9.59025
2044,8.050265,5.0955505
2076,10.858384,5.108011
2084,8.026527,7.2873588
2088,11.454831,5.523639
2094,10.74228,7.861114
2096,11.412507,9.566945
2117,8.462061,2.3447328
2120,10.475674,7.565779
2125,10.68693,5.2720785
2132,8.270121,2.3290796
2137,9.58296,7.861813
2143,10.149069,7.977599
2146,9.015726,4.2306595
2149,8.743959,1.8695948
2157,9.196014,8.050868
2160,9.92059,4.2239265
2163,10.602904,5.332403
2169,9.561659,6.5267653
2170,10.996089,10.344013
2180,9.612343,7.711231
2181,10.687004,10.23901
2208,9.876863,6.850759
2230,8.261437,5.031693
2237,10.076046,0.9674468
2264,10.972727,5.1615167
2267,9.02023,7.2507534
2282,10.5999365,9.565218
2283,7.559149,3.02153
2284,11.252827,10.101039
2286,8.33811,3.376664
2293,9.243363,8.062478
2306,9.722161,8.898227
2308,8.384075,5.72502
2318,10.684,7.868883
2329,7.9732914,1.5639975
2339,7.240415,3.5948093
2379,6.9352136,2.489982
2380,7.1983566,3.9992497
2387,7.7749424,7.177469
2394,7.8962793,3.6061223
2402,8.037717,8.066169
2403,11.358924,9.77581
2405,9.852134,8.63827
2409,7.6391716,8.150205
2413,9.903271,9.012674
2417,9.51956,8.221784
2425,8.787606,1.6372238
2430,9.980468,9.733334
2445,8.524182,1.3903937
2460,8.260422,2.4859834
2462,8.133988,5.8905506
2468,8.211656,3.0831819
2477,9.372856,7.958933
2500,9.041186,1.922976
2509,8.200412,5.920513
2526,10.202374,9.77609
2533,10.09731,9.690968
2534,8.076198,2.9937894
2540,9.293564,8.176396
2541,9.024518,6.899847
2551,10.51106,5.1296163
2553,9.403568,6.6708975
2555,9.114867,1.9891355
2561,9.9324665,9.535027
2567,9.685018,0.7292395
2568,8.544835,6.7841606
2575,8.129649,2.727098
2576,9.367161,2.0971904
2581,7.913714,3.1499853
2586,9.527815,6.182313
2626,8.100876,5.226404
2628,9.010813,3.9186814
2635,9.447601,6.609951
2647,8.206643,6.0294228
2673,10.338086,5.058563
2676,10.340446,5.0655727
2684,9.435778,2.164123
2685,10.269168,5.293189
2686,6.9284434,2.0370605
2692,6.900596,3.592671
2696,8.813469,1.7688777
2705,9.104667,0.6429609
2715,9.8337755,0.64058024
2733,10.141551,5.144782
2742,10.20358,10.010618
2749,7.6981707,3.160745
2751,10.60617,7.6234765
2762,7.5564823,5.2203183
2780,8.862955,1.7742547
2794,9.441745,5.916282
2795,10.181471,4.8032904
2808,11.421513,9.453389
2809,11.450034,9.423891
2830,8.12026,7.108646
2831,8.0223875,3.065467
2832,10.238169,4.903212
2841,10.213591,4.8291197
2842,7.5361276,5.2989006
2845,9.557815,6.152538
2850,6.44861,4.7805533
2877,9.610584,6.872571
2879,7.407557,5.381256
2883,8.091275,7.958925
2902,7.996662,7.626572
2907,8.658896,6.849617
2911,10.5087185,9.789713
2928,8.969942,8.77155
2932,7.611461,3.599874
2944,7.495532,8.0901165
2958,9.635158,9.038311
2964,9.217554,4.1089745
2965,8.675037,4.5845385
2977,10.332159,8.885706
2980,10.375817,9.912567
2982,9.703575,8.957207
2983,10.284833,5.058305
