idx,x,y
87,1.4866093,8.230519
96,1.1144015,7.4384136
100,1.6254959,8.351609
113,1.24977,7.6962194
128,1.4633751,8.329038
163,1.8554698,8.488387
167,3.487726,7.897662
180,1.7251627,7.7636986
188,1.9748725,7.8512373
190,1.6506618,8.115166
201,1.5204991,7.9104304
205,1.2218353,7.9105387
220,1.1108454,7.692216
228,1.1272607,7.7815924
275,1.5775412,8.129399
286,3.3841598,7.6452155
291,1.6996331,8.067875
296,3.484121,7.7444377
314,7.476457,7.7896175
333,2.600782,7.9544716
346,3.5559676,7.9211836
354,2.2488678,8.661936
356,1.1033367,7.6621995
364,3.5756586,7.195438
365,2.636032,8.829781
370,1.4038031,7.7919703
407,2.882145,8.8626995
414,3.0090625,7.241714
421,2.7150416,8.809828
439,1.0625702,7.3497562
447,2.9383478,7.82862
451,4.057225,7.2586756
453,6.1923337,4.658008
455,3.6368,8.269607
462,3.7936256,7.9669275
474,9.300175,6.452906
517,4.198643,7.365692
538,4.3854227,7.6486864
548,4.3433,6.841507
562,2.9525514,7.379986
564,2.2315953,7.689719
575,3.2282257,8.478313
576,4.274899,7.141881
606,3.2475889,8.302564
607,4.2749667,7.0270114
608,4.314317,7.330868
625,3.3085582,7.4733486
626,3.6339362,7.8593206
650,3.050713,8.923278
659,4.137071,7.8833985
684,1.331513,6.9688935
693,1.0214179,7.325685
694,1.4351649,6.9799647
696,3.8688538,7.7920117
732,3.9086275,7.8334265
741,2.7790158,7.9684668
758,3.9806888,7.5173464
759,4.8584185,7.319477
767,4.3426595,6.6854215
770,4.5167775,6.191671
776,4.308478,7.668626
777,2.8249786,8.095534
801,3.1433365,8.829323
825,3.1493175,7.13503
826,3.741175,7.961964
845,4.0808134,7.779091
849,3.4872735,8.88173
851,5.2186503,7.433834
876,4.6474004,6.664625
908,2.2512355,7.548761
920,4.146055,7.606013
922,2.755748,7.8028045
930,1.9781655,6.456788
946,2.593462,7.545519
947,3.0175636,8.039673
950,4.186589,8.96643
973,4.8894386,6.530619
974,5.34337,7.2999387
982,2.564027,6.303983
983,4.4048333,5.824156
987,4.940445,6.4250274
993,5.7377057,6.614182
1003,5.6601787,7.107253
1009,3.1868613,7.8351316
1028,5.677746,9.341426
1033,2.8215768,7.6254582
1036,4.550982,7.895749
1046,3.7434776,8.740314
1047,4.3858843,8.017453
1063,4.42178,8.7494335
1087,5.76098,8.3414955
1092,4.2883058,8.8756075
1103,2.239355,7.748856
1116,3.4097133,8.94555
1127,5.127865,7.679116
1129,5.4155273,8.035281
1145,1.7912811,7.708763
1151,3.579008,7.3193235
1164,3.6834626,7.0409527
1186,4.62928,5.1872625
1195,3.2845173,6.228673
1196,1.4055091,6.8420124
1203,4.420387,5.470786
1204,4.4467854,5.7417426
1205,4.473282,5.98733
1211,5.3956904,9.116182
1219,3.6494403,6.353976
1220,4.322666,8.420088
1224,4.4684286,5.361923
1247,5.943698,7.0502114
1264,5.961263,7.0328293
1271,5.198723,5.928104
1280,3.868301,5.5380692
1313,4.3547573,8.962233
1318,2.631251,5.687402
1320,5.874381,7.6613665
1352,2.3717194,5.99708
1367,4.204837,8.779698
1374,3.7704887,9.079418
1410,5.269217,6.4375315
1417,5.6937737,6.672276
1418,5.3454595,9.144821
1422,5.1596055,5.8430758
1425,4.851624,5.8831973
1445,5.8437104,6.7182355
1449,6.338766,6.59083
1457,6.083911,8.114088
1465,1.079364,7.353231
1485,6.299679,6.4933257
1506,2.105037,6.087335
1508,4.547599,5.633419
1523,6.1288967,7.0833006
1533,6.2404623,6.8206987
1553,1.0977724,7.33833
1556,3.7769575,9.029567
1596,2.1876419,6.0583386
1639,5.711521,6.4546056
1647,6.3542614,8.03003
1658,4.3009048,8.860271
1694,5.584479,5.8369975
1699,4.3626914,6.8616724
1711,4.07295,5.0147343
1752,5.5336127,7.788947
1758,3.0856233,5.5757403
1762,3.5862517,5.22066
1766,5.4454737,6.1480665
1773,5.722163,6.303844
1781,2.6659646,6.0888767
1789,4.39906,4.853927
1799,5.290165,7.7052813
1800,5.5075774,6.3349667
1805,8.331345,6.9932265
1808,2.6519763,6.0597386
1809,5.093212,8.851223
1821,4.959421,4.874582
1822,6.8803735,8.267982
1839,4.5782886,4.9146595
1845,5.1646714,5.2378135
1892,5.792712,5.1783032
1905,6.59655,6.786184
1924,6.5836234,6.4669085
1938,5.826099,8.286873
1941,6.4060626,6.97754
1945,5.2376976,9.234088
1961,3.4341333,6.728351
1968,4.4263663,6.899084
1998,6.893863,5.926868
2008,5.863636,8.508572
2017,2.193252,7.739507
2026,5.350108,7.029788
2041,3.9756222,5.206581
2056,4.381219,4.6215296
2061,5.290822,8.1904125
2063,6.286667,8.17044
2080,4.5029755,9.085067
2117,7.638683,4.6995616
2118,5.54194,4.964764
2120,4.579189,9.057971
2135,5.7523923,5.795426
2143,5.3051147,5.2416854
2145,5.4804406,5.9452553
2146,7.9963913,5.752214
2149,7.9206386,4.681902
2156,8.28311,5.963425
2167,2.2934618,5.8099785
2180,7.0898294,4.6671014
2193,6.268254,7.5327754
2208,5.962112,8.117086
2225,4.574426,9.165977
2239,7.1343412,6.1887727
2260,6.5941386,4.9910994
2264,6.8468876,6.661193
2267,6.564348,4.9461718
2280,5.5811276,7.9679456
2282,3.0876224,5.9423075
2286,7.327508,4.852022
2293,5.4275556,5.512463
2332,5.556628,8.918788
2346,7.054777,7.6622543
2359,7.2755737,7.5313787
2378,5.65112,9.294654
2381,7.520363,7.3057847
2402,3.4585822,5.287517
2405,4.9073215,4.98425
2447,6.9036717,8.44512
2460,7.383772,4.6512203
2469,7.3191667,4.735508
2478,8.012438,5.2142253
2484,6.2020307,5.5174723
2495,3.897573,4.9348125
2507,8.241539,4.989082
2541,5.7852516,5.444899
2567,9.995737,4.4054623
2581,8.535624,4.7872243
2584,6.915743,6.8490562
2623,6.247114,8.507089
2625,3.6398814,5.143199
2627,4.666779,9.234112
2632,6.8293405,7.7698364
2643,8.349152,7.54309
2647,6.2416267,5.0957785
2670,8.1444435,5.663688
2673,5.6542897,5.0148153
2688,6.19383,5.1753416
2702,8.349739,4.9410114
2705,9.854265,4.4849854
2723,8.10991,6.975952
2773,5.972385,4.810304
2792,7.5864105,7.179207
2795,7.6293416,5.771671
2816,4.276007,4.770908
2842,8.170345,6.6197834
2847,2.4019785,5.8983126
2874,7.06803,7.1762686
2891,8.874085,5.308821
2897,8.75662,6.2696524
2928,4.8767896,4.5036583
2961,6.8645935,8.497526
2966,1.513189,6.691597
2988,4.712215,4.880086
2997,4.417869,4.673448
2998,5.0954795,4.450532
3018,6.06757,4.9595633
3033,6.40516,7.163002
3042,3.58636,5.418603
3050,6.9542027,8.017306
3060,5.924581,8.934993
3072,7.5080338,7.406738
3074,9.165912,5.9598393
3082,7.0546794,8.313113
3083,6.407101,4.934933
3085,8.538331,6.5450573
3123,7.124215,6.605415
3189,5.676838,9.319614
3199,8.366292,7.095441
3204,8.758571,5.3126454
3207,4.610041,6.548928
3246,9.236646,4.849524
3252,6.737142,7.7927194
3273,8.880483,7.2010646
3286,7.8225474,7.3245573
3293,8.095677,7.2628818
3363,8.220529,7.0079045
3392,8.251229,6.887129
3414,5.670878,9.311315
3423,7.984487,7.225388
3486,8.772229,6.2171226
3506,9.075935,5.0055413
3511,8.934793,6.1203
3537,8.150943,6.94699
3541,9.109214,6.9104543
3573,1.796699,6.2778344
3599,6.0014863,9.023085
3601,8.864837,5.1396527
3634,7.19443,8.360645
3637,6.9841423,7.77913
3642,10.13122,4.234868
3706,1.9281723,6.12927
3717,7.7199187,5.6773386
3730,7.606385,8.15299
3754,6.3460793,5.104919
3764,6.08866,9.028832
3833,7.034458,8.540935
3834,7.1879888,8.039989
3835,4.523127,4.500794
3839,5.5650616,9.278874
3850,8.167498,5.53412
3853,10.010907,4.271577
3859,10.197694,4.2462454
3869,9.3179655,5.6586413
3877,5.200267,9.264376
3896,3.0499327,5.599468
3899,6.230353,4.83089
3902,9.093791,4.904191
3908,6.4713125,8.765533
3940,2.5813994,5.786653
3969,10.070363,4.2623215
3978,10.09686,4.329343
3980,9.177514,6.813471
4011,7.9105654,5.705086
4018,9.096459,6.9256473
4066,5.4392753,4.430401
4067,9.910727,4.374127
4080,9.186338,4.730045
4127,8.947962,6.0796394
4144,9.287366,5.9396305
4151,9.331256,5.7895813
4157,10.076131,4.2703347
4162,5.169434,4.401661
4209,7.292889,7.8672976
4212,7.8959446,7.605032
4221,7.414504,7.854073
4222,8.379892,7.1095023
4234,8.164732,6.3990846
4245,9.084169,6.132387
4257,10.146866,4.3026495
4281,5.5600038,9.148593
4291,2.265354,5.900044
4292,6.756806,5.365035
4297,8.503835,6.8282027
4328,9.39835,4.95776
4368,9.055352,6.162718
4370,7.2181134,8.186417
4390,8.568533,5.8612556
4421,8.604423,5.576642
4429,8.036032,5.7032886
4451,10.397889,4.1108565
4460,8.400089,6.5919256
4477,8.909605,5.146715
4483,8.368249,7.1431913
4492,9.001179,5.2182455
4496,4.6053176,4.7595177
4500,10.380261,4.142499
4539,9.146527,4.9076433
4554,10.187081,4.201378
4555,9.250601,5.9199686
4559,10.337117,4.1813974
4577,4.511697,4.7559686
4589,10.292778,4.2140803
4639,4.816266,4.4353156
4642,9.43366,4.777535
4650,6.602978,5.253469
4691,9.074761,5.480906
4715,9.344999,5.6240296
4733,9.385103,5.5295167
4738,5.4990273,4.3868237
4748,8.886536,5.3935504
4792,8.116417,7.732974
