idx,x,y
25,1.8399069,10.55462
49,1.5543165,9.6756525
50,1.5019641,9.494013
81,1.8550409,10.5069475
83,4.630782,6.128294
100,1.3789659,9.061118
110,1.3568369,8.790429
112,1.3027593,8.1832485
172,1.8626872,10.523602
226,2.1192305,7.010699
269,1.562489,9.4145565
272,3.0070481,6.9470363
284,1.5106033,9.321928
295,1.4772096,9.396076
323,1.4502054,8.09036
326,1.9052639,10.5322275
371,2.0608845,7.4402742
380,1.2928534,7.5223413
391,1.6207439,9.462159
395,1.5809923,8.63313
397,1.7086158,7.9680276
404,1.3204525,7.641552
413,2.4716988,7.399643
416,1.5549539,9.343795
432,1.9196812,8.030679
438,1.6721913,8.104957
440,2.7881083,7.450926
443,2.3127098,7.8703084
445,1.6239773,9.196002
457,2.7374525,7.638825
460,2.4535372,7.692913
463,5.1048775,4.365286
470,2.076877,7.0816607
471,3.1933312,6.9869194
482,2.5672295,6.899752
491,1.4707214,9.336146
493,1.8234016,9.806632
515,1.6541238,9.472214
516,2.6745343,7.9452753
530,2.7823956,7.5219946
534,1.9501567,7.0704923
535,1.5981437,7.2202253
536,1.2527227,6.3859277
551,2.2520363,7.540351
555,2.7838976,7.3804464
559,1.2213448,6.5058675
567,1.7065336,8.175592
575,1.6213808,8.494906
591,1.7258085,8.692299
598,2.0064347,7.0387316
612,1.9195269,10.529658
625,1.9525291,8.092066
630,1.8353938,9.303931
637,1.7878929,9.235075
638,1.7865138,8.2621975
648,2.1131408,6.820282
652,3.0314646,10.341693
653,1.9459043,9.134765
660,1.3776306,6.275233
665,3.2847347,6.8108687
670,1.4817677,6.4523673
681,2.6270137,7.415782
682,3.2890096,7.0279856
688,1.8381952,9.715303
703,2.9918256,7.535322
705,2.0633712,7.9050064
710,2.0016656,6.7358694
713,1.320113,7.480564
733,2.5203288,6.4995036
751,1.8500603,6.874023
756,2.8280215,7.5683923
757,5.7843256,5.8249316
773,1.2991507,6.248968
776,2.1477911,6.8773036
777,1.8078426,8.589461
785,1.5767463,5.7455688
792,3.0466883,7.586715
793,3.1177092,7.0355725
795,2.709056,6.597305
806,1.4597118,6.370784
809,2.06432,10.610335
811,2.0279896,9.616424
814,3.0383363,7.6061764
815,1.8065478,9.6035795
816,3.4704137,7.1294127
817,2.0780284,9.155431
822,2.7824528,7.7228513
826,1.8432745,7.868843
827,1.9672195,8.043176
852,1.3366404,7.533419
853,2.339286,7.0830436
860,2.3552783,7.2451572
862,2.1533928,3.7737272
868,2.1409276,6.898838
869,2.8111453,7.612918
875,1.9204867,8.813688
882,5.3104835,3.6137679
885,2.2439063,8.199021
886,1.9333198,9.790146
887,1.8999165,8.401554
891,2.006668,7.0209064
898,1.900437,10.495758
900,2.9930224,9.691278
902,1.8607053,8.880211
904,1.8827814,9.034116
907,3.0590048,7.880873
910,2.0848017,8.15026
912,1.8584328,8.98367
915,4.409398,4.299648
925,2.9546332,10.204034
935,3.571904,7.156104
942,3.6538863,9.061588
957,3.7274182,7.8583436
961,2.9770937,9.379659
962,2.6259418,6.5277567
964,1.3829719,6.0149074
971,3.748305,6.9892955
972,2.8306224,9.667281
990,1.3390054,6.1977673
993,3.5742881,6.931768
995,1.9206353,8.3663225
999,3.387298,6.734752
1007,3.4870892,5.528548
1016,5.945278,3.8982208
1017,3.3352041,7.4039626
1018,1.5725234,6.2122793
1021,2.4424672,7.0095186
1025,2.4197361,7.515003
1026,1.4378415,5.9494643
1030,3.8131993,6.7619095
1031,2.8675346,8.990659
1032,8.219967,4.8662148
1045,3.1464064,8.307863
1050,3.1505706,7.8709965
1061,2.0320785,9.052856
1065,1.4612321,6.0011997
1067,3.6997013,7.027685
1080,2.7058718,3.889615
1081,2.7985613,7.9689183
1090,2.6734762,6.5019045
1098,1.3763368,5.9553
1115,3.5332174,7.1638536
1120,2.0465844,9.500143
1122,3.4251552,8.884898
1123,3.2431235,6.2927437
1125,1.4675864,3.4297395
1128,1.5885459,5.8264117
1143,1.6972246,8.486499
1150,2.2252312,9.747563
1154,1.9628422,10.546932
1162,2.1427963,8.75938
1167,2.1746619,8.979608
1168,2.497651,8.0977335
1175,3.4725454,8.68083
1180,2.935823,8.460421
1183,1.9349371,7.738202
1185,2.9739573,9.548687
1190,2.9127362,7.8860826
1202,5.8496556,3.7672803
1204,3.594875,9.02574
1207,4.0344987,7.546855
1215,3.3929088,6.7649918
1216,3.3504615,8.249794
1225,8.465491,4.6694617
1226,2.7131827,6.9727254
1227,4.418968,6.9101877
1232,4.2633214,7.4895005
1235,1.4431869,5.786987
1241,2.7026956,6.8833094
1246,6.9277077,7.2963395
1248,3.7968457,3.6268048
1258,4.140136,6.8120556
1260,2.9023044,10.674525
1263,4.2304773,6.497533
1291,3.4655497,8.89907
1295,4.6526217,6.2224746
1299,3.258949,8.6176195
1300,3.2216935,8.930622
1305,2.5689058,8.068088
1309,3.4714413,5.778031
1311,3.6167827,6.8657446
1324,8.456803,5.827163
1329,3.7527623,7.8366885
1335,3.2321143,9.508586
1337,2.1283846,10.5398245
1348,4.5746117,7.479902
1350,3.8125129,3.565316
1352,3.7000482,10.19832
1366,2.2590108,10.535305
1372,4.2037644,6.78629
1373,1.4120746,7.5306435
1376,7.055577,7.1141286
1384,3.1322997,10.213243
1393,4.3336797,7.1539474
1400,4.1352315,7.515282
1401,3.6431172,6.370111
1408,3.7173257,9.162158
1414,3.85349,6.2327404
1416,4.3667526,7.1016097
1433,1.4498506,5.800368
1435,4.570544,7.2182097
1442,6.2393184,4.327968
1444,4.409435,6.6631746
1449,4.717075,6.2025275
1454,3.2927175,6.3667097
1458,3.8940127,6.068415
1460,1.490682,5.745928
1461,1.4085096,5.8380957
1467,1.4362577,5.7479157
