idx,x,y
0,1.3814393,8.865759
4,3.5990748,9.421725
7,1.5319614,8.975273
10,3.6657975,9.290195
14,1.6432506,8.950334
16,1.4618498,8.695176
18,2.4059453,8.955486
26,1.5649968,8.704651
27,3.6196284,9.386137
28,1.5241514,8.3009815
31,1.4657927,8.908769
33,3.3748772,9.044258
35,2.2026265,9.41896
36,1.8950154,9.275295
39,3.4146328,9.202399
41,3.5876963,9.400178
43,3.5042272,9.378485
45,2.1617792,8.878929
46,1.6764278,8.914022
47,2.4645052,8.83864
51,2.6015737,8.692146
52,2.0554192,9.359897
56,3.546422,9.3278675
59,2.0009787,9.276093
61,3.5517697,9.148474
64,1.9706143,8.533568
67,3.9182804,9.117078
68,1.7268755,8.465141
70,4.00766,9.049215
72,1.6379082,8.8259735
74,2.4868321,8.656284
76,3.7979007,9.252962
79,1.771254,8.951962
82,1.8011341,8.230594
83,9.948069,4.86413
85,1.8442928,9.070153
87,3.5094607,9.142029
91,3.564082,9.205733
93,3.569573,9.237387
94,1.5082018,8.289592
95,1.505845,8.313713
96,1.5585834,8.52244
97,8.6553755,4.1595664
101,3.2236984,8.69388
102,2.0810058,8.618721
108,1.9067184,8.252907
111,2.2651925,9.410414
116,2.3821876,8.552512
122,3.2829776,8.670228
123,3.144236,9.011541
125,2.3323312,9.390319
127,1.5256745,8.307737
149,2.8031428,9.346856
150,3.4373322,8.427345
158,2.6662548,8.565634
163,4.592473,8.037028
165,4.791978,8.074977
166,3.5580103,8.667957
168,8.313906,7.6792483
169,2.3350327,8.540839
174,3.7709696,8.771409
182,2.0763104,8.367758
183,1.8113915,9.052953
184,3.95934,8.696275
185,2.9396622,9.204422
193,4.090017,8.578214
196,4.001359,8.575247
200,1.7786318,8.242035
203,3.420641,8.527455
207,4.9901023,7.1823034
212,2.9322913,9.209182
220,2.652202,8.5034
222,3.6084244,8.50241
223,4.7248316,7.8358355
224,3.9399223,8.559416
225,7.689982,7.156192
228,2.8573081,8.365451
229,2.2975018,9.378426
230,2.4145105,9.354741
232,3.2714834,8.656976
233,2.189923,9.305811
238,2.567102,8.04167
239,2.1999023,8.240518
242,4.3492055,8.362941
249,2.8995562,8.137964
256,4.3523693,7.9685
257,4.372181,8.15948
260,4.522026,7.8820577
266,2.9286845,8.259009
270,1.7661939,8.299216
271,4.6708856,8.001583
275,4.41922,8.092558
278,5.3273625,7.5481596
279,2.4769518,8.166367
300,4.6768184,7.8008304
301,4.5756264,7.9744124
305,4.5575023,8.491057
306,8.615916,7.4861565
311,9.027021,7.6133103
319,8.929593,7.386088
322,2.8608985,8.04212
333,4.4165893,7.7721786
334,5.827159,7.5880084
335,2.4194756,8.090695
342,2.3283658,8.126362
358,4.439879,8.439067
362,2.8794615,7.79611
363,4.75881,7.9546385
365,4.8759007,7.8329883
366,5.3833394,7.456989
371,8.00879,6.6245737
373,8.315986,7.2266984
375,7.473603,6.965039
376,8.6517315,7.4742236
400,2.814677,8.178103
410,5.29552,7.3060713
412,7.670774,6.5803914
413,8.686585,7.443131
415,4.9997787,5.7188053
419,5.755717,7.5327544
420,4.815341,7.5212493
422,7.8727674,6.8851795
426,1.696516,8.498418
441,5.741145,7.4659925
442,4.89128,7.8374324
449,4.6991215,7.3029633
450,9.2075405,7.249106
454,5.3820286,7.4285674
461,7.8059916,6.9914017
466,8.96584,6.9975667
473,5.1167865,6.763255
476,5.7957606,7.2840896
480,10.369566,5.2861896
483,8.329406,7.226764
487,8.582085,7.300334
490,8.574098,7.2541327
495,5.550968,7.5163393
502,8.921903,7.3262568
505,5.2578254,7.2955422
507,2.3323965,9.330271
508,4.5961633,7.35236
510,4.7986894,6.9301076
511,3.9896424,7.263384
539,9.06086,7.101602
541,9.046829,7.168929
542,10.340196,1.8166738
545,5.063682,7.1536546
549,7.7465925,6.828739
564,5.602006,7.561447
575,7.231051,6.537447
577,5.4209895,7.2487245
581,8.87122,6.90199
582,5.0696898,7.1332464
587,7.433312,6.7846627
601,13.004659,4.005065
607,8.815554,6.9299345
618,8.169282,6.996018
626,7.4947047,6.3432426
632,7.6986146,6.728336
