idx,x,y
3,10.683599,3.6687505
11,9.977632,3.6012883
25,10.542611,3.6509855
27,9.4673195,3.6228917
28,10.589044,3.7786858
29,10.509312,3.6708488
33,9.539669,3.7654212
41,9.44909,3.6838694
43,9.528536,3.6571562
45,10.338525,3.7257125
58,7.781033,5.1640854
65,10.61383,3.7661057
76,9.317161,3.7633698
82,10.5575695,3.8172889
93,9.575017,3.641775
96,10.630631,3.786831
99,10.139774,5.5576596
100,9.646373,3.859843
104,7.758745,5.0944195
108,10.464729,3.9042351
116,10.299695,3.7367098
122,9.63249,4.006138
123,9.7376795,3.787788
125,10.186527,3.7155113
127,10.602558,3.8237696
128,9.58742,3.8562496
134,10.276498,3.7261877
135,7.693863,5.1889877
139,9.5724535,3.7731128
140,9.124744,4.044286
147,9.386263,3.9259179
149,9.835777,3.7300463
153,10.245414,3.7005644
164,8.979988,4.1027436
166,9.66851,4.1349554
168,7.7152915,5.1947093
170,9.101393,4.070311
176,10.556605,4.0044317
180,9.962926,4.5118017
185,9.90552,3.878615
186,9.088346,4.134597
188,9.1764555,4.493746
200,10.5940075,3.7976577
201,9.989789,3.7268064
203,9.732506,3.9475791
204,9.744787,3.852364
209,9.89822,4.089445
212,9.782335,3.7835534
213,9.771932,3.7878232
215,9.518033,4.371132
217,8.82174,4.603351
218,9.65816,3.9830759
222,9.850717,4.3440924
239,10.463692,3.884662
240,7.6488686,5.3183813
244,10.146215,4.1688604
245,8.969241,4.3315163
247,9.678374,4.0726523
248,9.7664795,4.032466
249,10.231698,4.200211
259,7.756319,5.0982294
261,9.516832,4.0755615
271,9.006076,4.377969
273,8.88255,4.80926
275,9.586746,4.1819835
277,10.260563,3.7111495
278,9.0498085,4.376738
279,10.365641,4.0276165
282,9.148999,4.1624365
283,7.976149,5.24649
286,7.7528796,5.4553657
290,9.754731,4.5340424
291,9.4483185,4.2355323
295,8.6697235,4.707136
297,9.193811,4.718649
300,8.850415,4.8256297
307,8.973059,4.845914
308,7.894742,5.2962933
310,8.716442,5.0934033
312,7.85889,5.5042825
314,9.570602,12.197146
322,10.470129,4.4316254
332,8.997665,4.5163517
333,8.890086,4.9704094
334,8.485702,4.9570966
335,10.491372,4.1177955
337,9.83587,4.5627
344,8.045202,5.267243
345,8.375249,4.837609
346,7.7644696,6.054955
350,8.402554,4.889588
351,10.361866,4.4832153
354,9.403541,4.745542
355,9.498399,4.2502
360,8.722208,5.1348987
364,7.2731814,5.800449
366,7.838034,5.352222
367,7.8181734,6.146818
369,8.742545,4.9747047
370,9.833887,4.3289256
371,7.0914574,6.522092
372,7.854354,5.9796534
376,5.738215,8.037846
377,7.167464,5.957446
378,7.7553687,6.460401
386,9.936822,4.8078904
387,8.804346,4.7032723
388,10.02985,4.3388724
389,8.316475,5.4763985
392,8.567371,5.105843
396,8.990085,4.731786
398,9.152551,4.5830145
402,6.981539,6.220773
405,8.484304,5.386791
408,5.9661226,7.5817513
412,8.002175,6.7344055
421,9.099559,6.1418457
424,10.008968,4.744536
425,10.025406,4.435103
433,8.950933,5.583656
437,8.277738,5.2849708
439,10.823393,4.558968
442,9.119627,4.7771573
444,8.757246,5.0313635
446,8.730415,4.9988575
447,8.643934,5.132582
449,9.324773,5.6702003
451,5.9170814,7.61716
454,8.345358,5.08594
455,8.004803,6.326104
462,7.785834,6.293429
468,7.9580984,5.3092995
472,8.1702175,5.420975
476,7.059004,8.27341
477,7.949402,6.4964943
478,7.225185,6.104786
487,5.732933,7.983862
490,5.75608,7.9066
497,7.82741,6.0055833
500,8.533692,5.2618623
502,5.672533,8.369414
505,8.565818,5.149406
510,9.467832,5.852125
512,10.000947,4.846963
513,9.221439,4.7312284
517,5.845414,7.668514
519,10.834133,5.021218
523,7.693263,6.19079
528,8.6354685,6.4925675
530,6.585323,7.943672
538,7.1902103,6.950567
540,5.853921,7.695163
542,6.143335,13.614349
544,6.651338,7.765359
545,8.888553,4.8423843
547,9.055991,5.6641183
553,7.026426,6.3911247
562,8.235928,5.3626847
564,8.46961,4.819842
568,9.0280485,4.8285623
570,7.936797,5.5009103
571,10.768798,4.4954367
573,9.142652,4.8836727
574,8.152346,5.520525
575,8.488735,6.273613
576,5.884924,7.7936497
580,10.358377,5.2568965
581,6.859079,6.4181695
587,8.193023,6.3824215
590,7.1446834,6.430943
594,5.9676595,7.590244
596,5.6539416,8.61916
600,7.2654157,6.4659634
601,3.8951814,13.612819
602,5.5557103,8.639656
603,5.630928,8.642833
607,6.2526712,7.953375
608,5.827786,7.7311835
609,9.818195,6.4094152
611,7.7230015,6.173539
613,7.480882,6.575428
620,8.173474,6.4511056
621,7.1398797,6.308356
622,8.467448,5.8055444
626,7.6713133,6.2441006
629,9.056944,4.9932046
632,7.931504,6.691527
643,7.809555,6.4795513
644,8.052684,5.509054
645,7.107813,7.8206
647,7.812999,6.3740478
654,8.780022,5.38178
655,10.496703,11.453327
658,10.03459,6.971933
659,7.293698,6.6069407
660,7.4324665,6.816252
665,5.641112,8.763537
666,6.721831,8.678426
669,10.389242,6.8615007
677,8.448305,6.4741797
680,7.207794,6.590226
683,6.9636188,6.9325757
693,10.774364,4.399268
694,10.625037,5.0567408
695,9.196003,4.909184
696,7.222064,6.634735
711,9.863345,5.9339156
714,8.907681,5.0196395
716,6.9578586,7.048573
717,10.468174,5.27283
718,6.613836,8.110431
720,9.806388,6.261855
723,7.0199084,8.6896105
724,9.039619,6.1856966
731,7.644223,6.4577174
732,7.258635,6.4995065
735,7.240675,12.320391
736,6.473468,8.216273
737,9.88518,6.8712063
739,9.943749,6.266279
741,9.6330385,6.3459167
747,9.6154375,6.0750546
753,6.4471793,7.9053555
755,7.165707,6.637337
758,7.219195,6.294284
759,6.3198013,7.727079
761,6.4784617,8.20636
762,6.423515,7.7596674
767,6.715207,8.503351
768,6.759604,8.83217
774,7.592998,6.6106415
775,5.608377,8.511926
779,6.2321205,10.77733
782,5.8278966,8.761585
794,7.301677,8.01678
801,8.98341,6.3833885
805,7.4302063,8.48318
807,7.179925,8.487136
808,6.6515136,9.018835
818,10.321561,5.7780395
821,10.626126,5.269418
823,7.514598,7.077221
825,7.3124785,8.059553
826,7.688136,6.3060646
830,10.830503,5.318671
834,7.9278398,6.661607
840,7.740722,6.7177954
844,5.8554697,8.984731
845,7.224747,6.8032207
850,6.5084143,8.233474
851,6.551566,7.356472
852,8.296535,6.4363527
856,5.738918,9.022463
863,5.850176,9.002905
864,10.023153,6.3363934
866,6.3886247,9.038257
867,9.065801,6.1997313
872,6.8489394,7.0292664
873,6.675871,8.508267
876,5.6203327,8.573702
879,9.937275,6.4225917
880,11.974133,10.1081295
881,11.877788,10.252191
884,9.100794,6.304784
893,6.7307205,8.857557
900,9.762395,6.277098
908,9.900373,5.3260527
918,9.618655,6.373253
919,7.1561027,5.955986
920,6.8266654,7.83101
922,9.759133,6.3696156
924,7.1950374,7.884231
929,8.636213,7.0665865
930,10.070706,5.0089903
931,6.8899302,8.555104
932,10.8206215,5.07125
936,6.9979973,7.2337203
938,7.4955344,7.0254116
939,9.906312,6.344666
940,7.834127,6.91986
941,8.855507,6.5500746
943,6.4960737,8.240834
944,7.0028243,7.096443
946,9.777446,6.412577
950,8.277053,6.825904
951,7.0351014,8.631078
955,6.9108095,6.952735
958,6.4076614,8.115174
959,5.901814,9.06642
961,9.798207,6.5576878
963,6.5036798,8.706381
965,6.7226686,7.8211966
968,6.9870415,7.0392294
969,8.016399,6.9329805
970,7.0833006,7.1199207
972,9.788697,6.4964137
973,6.3574343,8.849145
974,6.4123707,7.757572
975,6.9838986,7.114591
976,6.420825,8.894011
979,8.109416,6.9102616
980,8.113461,6.9748755
982,10.38484,6.882801
983,8.636619,8.768072
984,6.5590854,7.8840747
987,6.623131,9.090759
988,6.462896,7.427862
991,9.858801,11.145388
993,5.7599535,9.122216
994,6.697693,8.901583
996,6.404899,7.7520585
1000,6.883617,8.448802
1001,5.559512,9.594506
1002,6.7155037,8.985355
1003,5.855367,9.205844
1005,8.652179,6.575408
1009,8.355598,5.4933443
1010,9.955106,6.3545675
1013,8.24995,6.882712
1020,10.047249,4.90987
1022,6.815738,8.674311
1024,6.473493,8.224784
1027,11.039745,6.870547
1030,5.8970385,9.261154
1033,9.730821,6.616605
1034,7.6547265,7.281732
1035,6.1190267,9.959211
1036,7.146011,7.161705
1038,10.734801,9.587931
1041,9.923753,5.0074563
1046,8.657596,6.713273
1047,7.4319863,7.1279635
1049,7.431591,7.1426735
1051,10.750752,5.34783
1052,9.795086,6.506473
1058,6.690534,8.913487
1059,6.8914986,8.906602
1063,8.28952,7.2815776
1064,7.0474863,7.732651
1073,6.4488454,7.645059
1075,8.241906,6.956302
1076,7.5882254,10.044205
1082,8.484938,8.616365
1083,6.5188966,8.276767
1084,5.6192513,10.029258
1087,10.945291,10.100011
1092,8.084721,6.965366
1096,6.0691156,9.144557
1097,6.1042857,11.801837
1099,5.5904913,9.893175
1100,7.409625,8.388875
1102,10.598257,5.2886124
1103,9.355481,5.123573
1105,8.717061,6.585517
1106,7.4286933,8.014789
1107,6.475561,7.280618
1110,10.029766,6.4837
1111,9.392264,9.528264
1116,8.748319,6.676909
1118,8.274012,8.981927
1127,6.85892,7.2763896
1131,8.798923,7.2189965
1132,8.04413,8.628412
1133,6.888642,6.982603
1135,9.776671,7.256331
1139,5.9085703,9.425589
1144,6.0312667,9.977101
1145,10.071443,4.477787
1146,8.7003565,8.779576
1151,7.023729,6.176719
1154,10.181333,4.422415
1156,8.754871,6.6506963
1158,9.708912,6.5604014
1170,8.814033,6.7334714
1177,10.581595,5.455337
1178,7.1145763,8.581544
1181,11.9882,10.077063
1187,10.518727,5.594429
1188,8.970499,9.443651
1192,6.612727,9.064724
1193,8.382972,7.096041
1194,8.299183,7.321475
1195,9.865276,6.9161897
1196,10.89635,5.2430153
1199,9.053431,6.602631
1200,8.773412,7.102805
1201,9.979277,6.6456823
1202,10.989689,11.996078
1203,8.347678,8.893207
1205,8.72469,8.901389
1209,11.373232,9.997549
1210,7.1331043,8.53352
1213,7.2728586,9.47193
1220,7.950019,7.113641
1230,6.2991285,10.747332
1236,5.9361677,10.441017
1245,8.973292,8.897837
1250,10.08258,12.5734
1253,5.91286,9.384351
1254,5.642359,8.757156
1255,9.907824,6.135706
1265,5.5629125,9.934597
1266,6.6993704,8.094784
1267,6.6042867,9.660583
1269,10.594105,12.370279
1271,9.448015,9.351381
1272,5.939738,9.382284
1273,5.6179895,10.253265
1275,10.119201,7.0236793
1280,9.068884,8.708425
1281,9.767213,10.597122
1282,8.964033,13.3136635
1289,9.945498,8.366163
1294,9.852669,7.2243395
1303,7.4398303,7.1733346
1308,6.810576,7.3238454
1311,5.819155,9.034506
1313,8.319307,6.999995
1314,6.503543,7.2743115
1319,9.964103,6.3624563
1320,6.4431725,7.294087
1328,9.514858,6.6990905
1338,8.156471,7.365713
1341,0.8594785,13.694895
1342,6.986561,11.191317
1343,8.79053,7.1736526
1346,6.7333884,7.112792
1351,7.1545095,7.364886
1352,10.67081,6.810304
1361,8.965402,7.023491
1369,8.877299,7.1767173
1374,9.219152,6.7107644
1379,9.096201,9.515296
1390,8.330805,9.077851
1394,9.776094,7.2606583
1397,8.497184,11.162222
1399,10.598939,5.373459
1404,6.373953,9.48777
1410,9.273115,9.580081
1412,9.248775,9.302771
1417,6.024393,9.104287
1418,11.757748,10.253695
1419,6.501055,13.353249
1422,9.173454,9.647275
1425,9.152542,9.377179
1429,6.884324,8.269881
1431,7.1240196,9.817562
1437,5.7063212,10.542319
1440,6.486899,7.328305
