idx,x,y
110,11.044155,4.095327
112,10.744019,4.351606
145,11.287739,4.1607313
156,11.07248,4.3192606
236,10.183597,5.2328434
246,10.84119,4.483702
253,11.935003,5.230871
267,10.869998,4.6263638
312,10.694275,5.5331187
317,10.01106,5.4029865
320,11.187185,4.752051
338,10.109783,5.1818385
360,11.31491,5.3349876
401,11.002941,5.1665864
456,12.635554,4.7089863
480,11.638131,8.081928
529,10.679127,5.8079863
541,11.103927,6.386823
556,11.961073,4.5266657
557,10.869669,5.4211226
571,12.575481,4.496151
579,10.255583,5.451306
585,10.856531,4.981521
586,11.504652,5.453392
589,11.920845,5.476487
599,10.131411,5.947862
627,11.024181,6.482373
628,12.492338,4.3582215
642,11.247949,5.0675073
680,10.886953,6.0624037
687,12.762304,4.8140697
773,9.732325,6.321414
785,9.856444,7.222412
787,10.023543,5.9236927
790,12.703451,4.615539
794,11.492823,5.973894
800,10.242748,6.2903867
855,6.9789624,5.71586
878,10.329034,5.3069077
889,8.049207,6.3387413
941,10.959373,5.0974855
979,9.844573,6.514747
985,9.36303,6.283829
1027,12.645602,6.2991157
1036,10.727021,6.47415
1039,9.661237,6.8673096
1094,8.725333,6.395385
1106,11.791137,5.9833984
1158,12.169264,5.8019304
1175,12.155612,6.432676
1188,11.756903,6.611484
1244,10.0019,7.100436
1285,11.733791,8.338383
1290,8.404285,6.829598
1373,8.146524,6.5107956
1405,11.724774,4.8814464
1433,9.781718,7.0534844
1459,7.74338,6.16421
1460,9.63539,7.2456703
1461,9.636254,7.1946073
1523,12.081277,8.132153
1525,11.779215,4.7917237
1564,10.61504,6.846151
1662,11.137321,7.806691
1672,9.866965,8.62227
1787,7.6097064,6.2288003
1796,12.424963,7.0565815
1818,12.415573,4.3490043
1877,9.351824,7.376908
1891,12.097178,6.69412
1922,7.040986,5.764176
1923,12.049687,8.29005
1972,12.643562,7.3557463
2016,12.307313,7.3718467
2052,8.903354,7.9545712
2053,11.376191,9.838707
2233,12.636407,7.995573
2241,11.724573,9.112894
2254,9.685527,8.428448
2291,12.506294,8.108433
2341,10.918461,8.535728
2397,12.060723,7.0977936
2465,12.760495,5.4197373
2505,11.486579,9.029954
2514,12.035465,5.9669805
2522,12.759357,4.8151155
2536,7.1467814,6.2475986
2550,7.0086484,5.7759995
2585,12.448437,5.718346
2642,12.826432,8.622745
2662,11.65086,9.729462
2671,8.7478,6.9603066
2691,11.361696,8.887746
2724,8.27082,7.036934
2727,11.781482,7.1107583
2757,9.110484,7.174257
2782,10.543218,8.9184
2784,11.989309,9.502822
2798,12.768648,6.6277666
2806,9.033615,8.308498
2819,12.124768,7.084675
2829,7.447362,6.343084
2860,8.4633045,7.3303895
2894,9.184804,8.444484
2898,9.212053,8.511848
2901,11.831881,8.443191
2914,7.070322,5.8338585
2936,7.1335316,6.096129
2986,7.2883954,6.2137094
3068,10.774863,8.144417
3113,9.560634,8.694246
3130,12.48741,8.719318
3152,12.551079,9.034454
3177,9.956454,8.048876
3191,7.296987,6.032575
3197,9.469841,8.703358
3205,10.8281975,8.494281
3227,10.767918,8.579078
3287,12.163064,9.110319
3310,11.7176485,9.6448965
3385,12.353069,8.97717
3414,11.18099,9.774796
3445,12.383865,5.937619
3514,12.364802,9.554594
3516,10.28004,8.331824
3608,10.289524,8.788292
3611,13.048836,9.006868
3618,11.337953,8.997415
3654,12.945007,8.948755
3667,11.778615,8.692521
3750,7.4014935,6.4331903
3813,7.235195,5.835803
3815,10.927528,8.991212
3903,7.5552673,6.522239
3953,13.056506,9.115012
3996,11.189697,9.07302
4104,12.792344,9.281482
4173,12.686235,6.653859
4201,11.055182,8.64082
4244,10.675988,9.030441
4312,11.660813,9.168097
4351,12.737025,8.918089
4465,12.9030485,8.929672
4661,9.558092,7.972072
