idx,x,y
13,1.4564823,6.5522118
70,1.3007593,6.6617146
176,2.5685923,5.821606
178,1.059914,6.493511
287,2.5878646,5.7349696
338,1.5268118,6.3602138
459,0.57354754,6.091834
498,1.466296,6.238079
676,3.2500708,4.411844
684,2.8162155,5.4745083
796,1.178386,5.5738335
833,1.0529867,5.919875
933,1.4004194,5.9193883
1019,1.6681837,5.649025
1035,-1.1742676,5.5012007
1090,0.9351914,5.5418205
1109,3.1679204,4.36331
1139,-0.094580464,5.712371
1229,1.1547078,4.3520594
1321,-2.5801382,3.8367565
1365,1.8601048,5.5137587
1443,-0.7809688,5.644652
1461,2.5675106,4.10022
1463,-0.558097,5.54586
1514,0.40015593,5.466604
1671,3.04026,4.732129
1785,2.5774264,4.518753
1795,2.0414305,4.116228
1836,2.2161174,4.767192
1962,-0.8498965,5.344719
2010,-1.2374951,4.862872
2140,2.9466403,4.338963
2161,1.2355304,3.4053545
2168,1.04998,4.6731753
2250,-0.24883206,3.3863785
2278,2.9344044,5.000559
2357,-2.1730225,4.764409
2386,0.742424,2.9132884
2503,1.5845243,4.444963
2623,1.6038841,3.9306812
2664,2.2669134,5.103054
2736,-0.015071486,4.160018
2779,-2.1895251,3.5093324
2879,-0.71571076,3.7320662
2972,-2.4564092,4.120939
3032,-0.9303112,3.9602134
3136,2.1034474,3.6239686
3138,-1.0871873,4.3489995
3404,0.7235895,3.534036
3447,0.30694947,3.8738961
3458,2.931877,3.8332253
3475,-1.399605,4.8371096
3490,2.8068292,4.01174
3531,-0.051772285,3.4262023
3579,-0.7660862,3.3134902
3603,-2.27904,4.0409455
3622,3.265618,4.884837
3684,-0.30270407,3.00585
3689,-2.7871087,5.0251746
3715,-1.1089084,3.799345
3815,1.4135752,3.2422163
3816,-0.20561665,2.9116645
3830,1.6911522,3.4186027
3878,1.5980128,3.639271
3910,-0.85803205,4.5585604
3916,2.4143558,3.660224
3997,-0.058372665,3.965359
4013,0.29942447,2.831031
4070,-1.7801163,4.9914494
4109,-1.1198592,3.5055408
4155,-2.4421465,4.4356966
4183,0.491694,3.3110883
4202,-0.6324963,3.2020953
4261,-2.3642955,3.7808378
4269,-2.634487,5.1432767
4302,3.0031614,5.2463007
4349,-1.5959612,4.710897
4419,-2.2662756,4.984971
4479,-0.5301754,4.192633
4665,-2.5701396,5.1812887
4672,0.04970227,3.6642902
4769,-2.6427917,5.086479
