idx,Name,Recommend Name 0,Recommend Name 1,Recommend Name 2,Recommend Name 3,Recommend Name 4,Recommend Name 5,Recommend Name 6,Recommend Name 7,Recommend Name 8,Recommend Name 9,Recommend PCA Distances 0,Recommend PCA Distances 1,Recommend PCA Distances 2,Recommend PCA Distances 3,Recommend PCA Distances 4,Recommend PCA Distances 5,Recommend PCA Distances 6,Recommend PCA Distances 7,Recommend PCA Distances 8,Recommend PCA Distances 9,Recommend Genres 0,Recommend Genres 1,Recommend Genres 2,Recommend Genres 3,Recommend Genres 4,Recommend Genres 5,Recommend Genres 6,Recommend Genres 7,Recommend Genres 8,Recommend Genres 9,Recommend Rating 0,Recommend Rating 1,Recommend Rating 2,Recommend Rating 3,Recommend Rating 4,Recommend Rating 5,Recommend Rating 6,Recommend Rating 7,Recommend Rating 8,Recommend Rating 9,Predicted Rating,Actual Rating
0,Avatar,Star Wars: Episode I - The Phantom Menace,Meet the Parents,Titanic,Star Wars: Episode III - Revenge of the Sith,Independence Day,Jurassic Park,The Proposal,Harry Potter and the Order of the Phoenix,Furious 7,The Bourne Ultimatum,0.0067768730372278485,0.014789194504449932,0.01514807208047686,0.01621911542826171,0.01995446717644056,0.02033183043761566,0.021291649674222257,0.024284831724583733,0.02481442835318093,0.02843845997417449,"'Adventure','Action','ScienceFiction'","'Comedy','Romance'","'Drama','Romance','Thriller'","'ScienceFiction','Adventure','Action'","'Action','Adventure','ScienceFiction'","'Adventure','ScienceFiction'","'Comedy','Romance','Drama'","'Adventure','Fantasy','Family','Mystery'",'Action',"'Action','Drama','Mystery','Thriller'",6.3,6.6,7.5,7.1,6.7,7.6,6.7,7.4,7.3,7.3,7.05,7.2
1,Pirates of the Caribbean: At World's End,Spectre,National Treasure,Live Free or Die Hard,Con Air,Mission: Impossible III,Jason Bourne,Spider-Man 3,The Hobbit: The Battle of the Five Armies,The Amazing Spider-Man 2,Gone in Sixty Seconds,0.005913470558911005,0.007064217524534344,0.007454125783440069,0.00769151414807312,0.007787993885353117,0.007857514884449524,0.007966671795482383,0.009228338563470717,0.009442273251857869,0.01063217258115412,"'Action','Adventure','Crime'","'Adventure','Action','Thriller','Mystery'","'Action','Thriller'","'Action','Thriller','Crime'","'Adventure','Action','Thriller'","'Action','Thriller'","'Fantasy','Action','Adventure'","'Action','Adventure','Fantasy'","'Action','Adventure','Fantasy'","'Action','Crime','Thriller'",6.3,6.4,6.4,6.5,6.5,5.9,5.9,7.1,6.5,6.1,6.36,6.9
2,Spectre,Jason Bourne,The Amazing Spider-Man 2,The Hobbit: The Battle of the Five Armies,Harry Potter and the Half-Blood Prince,Live Free or Die Hard,The Hobbit: The Desolation of Smaug,Pirates of the Caribbean: At World's End,Spider-Man 3,Ocean's Thirteen,The Matrix Revolutions,0.0016818725415991276,0.0018383370886086992,0.00209568267103577,0.004390933854789059,0.00451788944141962,0.005867370020801177,0.005913470558911005,0.006052920741890566,0.009970692898460087,0.010388865854346174,"'Action','Thriller'","'Action','Adventure','Fantasy'","'Action','Adventure','Fantasy'","'Adventure','Fantasy','Family'","'Action','Thriller'","'Adventure','Fantasy'","'Adventure','Fantasy','Action'","'Fantasy','Action','Adventure'","'Crime','Thriller'","'Adventure','Action','Thriller','ScienceFiction'",5.9,6.5,7.1,7.4,6.4,7.6,6.9,5.9,6.5,6.4,6.659999999999999,6.3
3,The Dark Knight Rises,The Hobbit: An Unexpected Journey,Captain America: The Winter Soldier,Now You See Me 2,The Amazing Spider-Man,Skyfall,Harry Potter and the Prisoner of Azkaban,Man of Steel,The Hunger Games: Catching Fire,Suicide Squad,Mr. & Mrs. Smith,0.0013990759419632015,0.002121294401810858,0.006420617106269844,0.0071473787041445025,0.009095081779995295,0.011918848822208616,0.014974330258258228,0.01522247628134199,0.015970929429390823,0.016964413404452205,"'Adventure','Fantasy','Action'","'Action','Adventure','ScienceFiction'","'Action','Adventure','Comedy','Crime','Mystery','Thriller'","'Action','Adventure','Fantasy'","'Action','Adventure','Thriller'","'Adventure','Fantasy','Family'","'Action','Adventure','Fantasy','ScienceFiction'","'Adventure','Action','ScienceFiction'","'Action','Adventure','Crime','Fantasy','ScienceFiction'","'Action','Comedy','Drama','Thriller'",7.0,7.6,6.7,6.5,6.9,7.7,6.5,7.4,5.9,6.5,6.87,7.6
4,John Carter,47 Ronin,The BFG,The Sorcerer's Apprentice,Hugo,Robin Hood,G.I. Joe: The Rise of Cobra,White House Down,Battleship,The Green Hornet,Superman Returns,0.008355640105482398,0.013440591720424111,0.01344146590881845,0.014660699863667359,0.015369295900657498,0.015441617308211697,0.016078867425218912,0.01751733045214865,0.018760392570110085,0.020217502649710895,"'Drama','Action','Adventure','Fantasy'","'Adventure','Family','Fantasy'","'Fantasy','Adventure','Action','Comedy','Drama'","'Adventure','Drama','Family'","'Action','Adventure'","'Adventure','Action','Thriller','ScienceFiction'","'Action','Drama','Thriller'","'Thriller','Action','Adventure','ScienceFiction'","'Action','Crime','Comedy'","'Adventure','Fantasy','Action','ScienceFiction'",5.9,6.0,5.8,7.0,6.2,5.6,6.4,5.5,5.5,5.4,5.93,6.1
5,Spider-Man 3,Spectre,Jason Bourne,The Hobbit: The Battle of the Five Armies,Pirates of the Caribbean: At World's End,Warcraft,Pirates of the Caribbean: On Stranger Tides,Planet of the Apes,Mission: Impossible III,Indiana Jones and the Kingdom of the Crystal Skull,Batman Forever,0.006052920741890566,0.006231310605382845,0.007957486927748447,0.007966671795482383,0.008744758359693239,0.008766588641116013,0.010641115742362262,0.011025424684252938,0.012477659472759806,0.013316623221532042,"'Action','Adventure','Crime'","'Action','Thriller'","'Action','Adventure','Fantasy'","'Adventure','Fantasy','Action'","'Action','Adventure','Fantasy'","'Adventure','Action','Fantasy'","'Thriller','ScienceFiction','Action','Adventure'","'Adventure','Action','Thriller'","'Adventure','Action'","'Action','Crime','Fantasy'",6.3,5.9,7.1,6.9,6.3,6.4,5.6,6.5,5.7,5.2,6.1899999999999995,5.9
6,Tangled,Bolt,Rango,The Legend of Tarzan,Men in Black 3,Cars 2,Epic,The Good Dinosaur,The Tourist,The Polar Express,How the Grinch Stole Christmas,0.009476000874595436,0.011307211727970667,0.0160695445691329,0.016382815245518434,0.018657516598303503,0.020039515379098538,0.020601694016645133,0.021172519269714418,0.021803637653189933,0.02265069865594227,"'Animation','Family','Adventure','Comedy'","'Animation','Comedy','Family','Western','Adventure'","'Action','Adventure'","'Action','Comedy','ScienceFiction'","'Animation','Family','Adventure','Comedy'","'Animation','Adventure','Family','Fantasy'","'Adventure','Animation','Family'","'Action','Thriller','Romance'","'Adventure','Animation','Family','Fantasy'","'Family','Comedy','Fantasy'",6.3,6.6,5.5,6.2,5.8,6.4,6.6,6.0,6.4,6.2,6.2,7.4
7,Avengers: Age of Ultron,Mission: Impossible - Ghost Protocol,The Matrix Reloaded,Mr. & Mrs. Smith,Alice in Wonderland,The Hobbit: The Battle of the Five Armies,Night at the Museum,Pirates of the Caribbean: Dead Man's Chest,Harry Potter and the Half-Blood Prince,War of the Worlds,Spider-Man,0.004414962957874802,0.0065004343406274145,0.009131908248216525,0.010538172325086248,0.011033202031054179,0.0121195815641848,0.013107107294946796,0.013902273511811836,0.014768579886845656,0.01672868458419463,"'Action','Thriller','Adventure'","'Adventure','Action','Thriller','ScienceFiction'","'Action','Comedy','Drama','Thriller'","'Family','Fantasy','Adventure'","'Action','Adventure','Fantasy'","'Action','Adventure','Comedy','Family','Fantasy'","'Adventure','Fantasy','Action'","'Adventure','Fantasy','Family'","'Adventure','Thriller','ScienceFiction'","'Fantasy','Action'",6.8,6.7,6.5,6.4,7.1,6.3,7.0,7.4,6.2,6.8,6.720000000000001,7.3
8,Harry Potter and the Half-Blood Prince,The Amazing Spider-Man 2,Ocean's Thirteen,The Hobbit: The Desolation of Smaug,Live Free or Die Hard,Spectre,The Hobbit: The Battle of the Five Armies,Jason Bourne,Mission: Impossible - Ghost Protocol,The Matrix Reloaded,Casino Royale,0.0018502753517252168,0.0022341299897169486,0.003410341745754164,0.004272048931946437,0.004390933854789059,0.005083219472303724,0.009384347002291071,0.010517866466531633,0.011177217897749614,0.011359174133948047,"'Action','Adventure','Fantasy'","'Crime','Thriller'","'Adventure','Fantasy'","'Action','Thriller'","'Action','Adventure','Crime'","'Action','Adventure','Fantasy'","'Action','Thriller'","'Action','Thriller','Adventure'","'Adventure','Action','Thriller','ScienceFiction'","'Adventure','Action','Thriller'",6.5,6.5,7.6,6.4,6.3,7.1,5.9,6.8,6.7,7.3,6.709999999999999,7.4
9,Batman v Superman: Dawn of Justice,Cars,X-Men: Apocalypse,Man of Steel,Captain America: Civil War,X-Men: Days of Future Past,The Hunger Games: Mockingjay - Part 2,The Matrix Revolutions,Thor: The Dark World,Casino Royale,The Amazing Spider-Man,0.009921545348776095,0.01138596860161245,0.011572276005551552,0.011656253065041033,0.012731267200457919,0.013022794083954903,0.01322957283971038,0.016331262796885793,0.016402299219835603,0.01640681289707757,"'Animation','Adventure','Comedy','Family'",'ScienceFiction',"'Action','Adventure','Fantasy','ScienceFiction'","'Adventure','Action','ScienceFiction'","'Action','Adventure','Fantasy','ScienceFiction'","'Action','Adventure','ScienceFiction'","'Adventure','Action','Thriller','ScienceFiction'","'Action','Adventure','Fantasy'","'Adventure','Action','Thriller'","'Action','Adventure','Fantasy'",6.6,6.4,6.5,7.1,7.5,6.6,6.4,6.8,7.3,6.5,6.769999999999999,5.7
